Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
La,10.0,Mg,90.0,,,,,,,,,,,,,,,,,,,,Impregnation,1123,0.30,0.05,6.0,1.0,0.10 ,100.0,18.0,,28.8,23.1,51.9,9.3
La,67.0,Ce,1.0,Re,32.0,,,,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,16.5,,17.8,30.0,47.8,7.9
La,60.0,Ce,10.0,Re,30.0,,,,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,15.5,,18.4,31.8,50.2,7.8
La,40.0,Ce,40.0,Re,20.0,,,,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,11.6,,7.9,16.2,24.1,2.8
La,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,19.6,,25.7,30.9,56.6,11.1
La,50.0,Al,50.0,,,,,,,,,,,,,,,,,,,,n.a.,983,0.51,0.11,4.8,1.0,0.45 ,94.7,25.3,,,,48.4,12.2
La,25.0,,,,,,,,,,,Cl,75.0,,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80 ,,7.6,,56.2,14.1,70.3,5.3
La,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.30,0.05,6.0,1.0,0.18 ,100.0,20.0,51.0,26.0,31.0,57.0,11.4
La,34.9,Sr,65.1,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.30,0.05,6.0,1.0,0.18 ,100.0,20.9,32.0,29.0,35.0,64.0,13.4
La,50.0,Al,50.0,,,,,,,,,,,,,,,,,,,,Pyrolysis,983,0.50,0.10,5.0,1.0,0.06 ,,21.1,,,,40.0,8.4
La,66.7,,,,,,,,,,,C,33.3,,,,,,,,,,Therm.decomp.,973,0.88,0.12,7.3,1.0,0.05 ,97.2,17.7,,34.1,34.0,68.1,12.1
