Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Li,44.6,,,,,,,,,,,,,,,,Al,55.4,,,,,Impregnation,1073,0.40,0.08,4.8,1.0,0.04 ,,3.2,,,,6.3,0.2
Li,30.3,Mg,69.7,,,,,,,,,,,,,,,,,,,,n.a.,993,0.08,0.04,2.0,1.0,5.30 ,85.0,38.0,,,,50.0,19.0
Li,6.0,Ca,94.0,,,,,,,,,,,,,,,,,,,,Impregnation,1017,0.64,0.08,8.0,1.0,1.05 ,99.0,13.0,,24.0,38.0,62.0,8.1
Li,5.8,Ca,94.2,,,,,,,,,,,,,,,,,,,,Impregnation,1027,0.67,0.07,9.6,1.0,0.50 ,97.0,14.0,,24.0,40.0,64.0,9.0
Li,5.4,Ca,91.9,,,,,,,,,S,2.7,,,,,,,,,,Impregnation,1030,0.65,0.08,8.1,1.0,0.90 ,98.0,14.0,,32.0,34.0,66.0,9.2
Li,13.0,Al,87.0,,,,,,,,,,,,,,,,,,,,Impregnation,1024,0.65,0.08,8.1,1.0,6.88 ,100.0,11.0,,24.0,26.0,50.0,5.5
Li,10.0,La,90.0,,,,,,,,,,,,,,,,,,,,Impregnation,1073,0.30,0.05,6.0,1.0,0.10 ,100.0,21.6,,32.6,37.6,70.2,15.2
Li,10.0,Mg,90.0,,,,,,,,,,,,,,,,,,,,Impregnation,1123,0.30,0.05,6.0,1.0,0.10 ,100.0,21.1,,38.0,29.1,67.1,14.2
Li,11.1,Sm,88.9,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.05,0.02,2.5,1.0,0.60 ,80.0,28.8,,59.0,10.8,70.0,20.2
Li,12.5,Zn,87.5,,,,,,,,,,,,,,,,,,,,n.a.,1013,0.11,0.06,1.9,1.0,2.40 ,90.0,40.0,,,,62.1,24.8
