Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Mn,9.2,,,,,,,,,,,,,,,,Al,90.8,,,,,Impregnation,1073,0.40,0.08,4.8,1.0,0.04 ,,11.0,,,,45.5,5.0
Mn,33.3,,,,,,,,,,,Cl,66.7,,,,,,,,,,Impregnation,1023,0.66,0.07,9.4,1.0,1.80 ,,14.4,,71.5,12.5,84.0,12.1
Mn,100.0,,,,,,,,,,,,,,,Cl,,,,,,,n.a.,1023,0.67,0.07,10.0,1.0,2.00 ,,14.0,,71.0,13.0,84.0,11.8
Mn,12.4,,,,,,,,,,,,,,,,Al,87.6,,,,,Impregnation,1113,0.50,0.10,5.0,1.0,0.22 ,,12.0,,,,6.0,0.7
Mn,8.0,Na,10.0,,,,,,,,,,,P,5.0,,Si,77.0,,,,,Impregnation,1048,0.50,0.10,4.8,1.0,1.00 ,92.0,48.0,,26.0,13.0,39.0,18.7
Mn,0.4,Li,18.1,Mg,81.5,,,,,,,,,,,,,,,,,,n.a.,1073,0.28,0.13,2.1,1.0,0.52 ,,26.0,,46.0,34.0,80.0,20.8
Mn,40.0,Li,60.0,,,,,,,,,,,,,,,,,,,,n.a.,1053,0.33,0.17,2.0,1.0,0.39 ,,32.0,,,,50.0,16.0
Mn,0.8,Mg,99.2,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.03,0.02,1.9,1.0,1.23 ,90.0,34.9,,,,46.0,16.1
Mn,25.0,Ti,25.0,Li,50.0,,,,,,,,,,,S,,,,,,,n.a.,1073,0.42,0.17,2.5,1.0,3.60 ,,37.0,,,,82.0,30.3
Mn,11.0,Na,20.5,Si,68.5,,,,,,,,,,,Cl,,,,,,,n.a.,1023,0.67,0.33,2.0,1.0,3.30 ,100.0,52.0,43.0,44.0,5.0,49.0,25.5
Mn,68.8,Ag,31.2,,,,,,,,,,,,,Cl,,,,,,,n.a.,1023,0.32,0.08,4.0,1.0,0.50 ,,13.0,,49.0,14.0,63.0,8.2
Mn,15.0,Na,3.4,,,,,,,,,,,,,,Si,81.6,,,,,Impregnation,1073,0.22,0.04,5.0,1.0,6.43 ,,11.9,30.0,,,70.0,8.3
Mn,0.1,Li,27.0,Mg,72.9,,,,,,,,,,,,,,,,,,n.a.,1078,0.28,0.13,2.1,1.0,0.48 ,95.0,39.0,47.0,31.0,22.0,53.0,20.7
Mn,44.0,Na,3.0,,,,,,,,,P,3.0,,,,Si,50.0,,,,,Therm.decomp.,1123,0.90,0.20,4.5,1.0,1.80 ,,1.7,,,,75.0,1.3
Mn,2.1,,,,,,,,,,,,,,,,Si,97.9,,,,,Sol-gel,1073,0.55,0.18,3.0,1.0,0.10 ,,16.4,,,,34.3,5.6
Mn,1.7,W,1.3,Na,20.0,,,,,,,,,,,,Si,77.0,,,,,Sol-gel,1073,0.55,0.18,3.0,1.0,0.10 ,,36.8,,,,64.9,23.9
Mn,50.0,Mo,50.0,,,,,,,,,,,,,,,,,,,,Impregnation,973,0.40,0.20,2.0,1.0,7.20 ,10.0,3.3,79.0,,,2.4,0.1
Mn,50.0,Mg,50.0,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.75,0.25,3.0,1.0,0.25 ,,24.5,,,,19.7,4.8
Mn,20.0,Mg,20.0,Na,60.0,,,,,,,,,,,,,,,,,,Impregnation,1023,0.75,0.25,3.0,1.0,0.25 ,,25.1,,,,24.4,6.1
Mn,9.9,Ti,90.1,,,,,,,,,,,,,,,,,,,,Impregnation,1073,0.75,0.25,3.0,1.0,2.10 ,,17.7,,11.8,,23.0,4.1
Mn,1.8,Na,9.1,W,4.8,Mg,84.3,,,,,,,,,,,,,,,,Impregnation,1073,0.88,0.12,7.3,1.0,0.52 ,,20.0,,,,80.0,16.0
Mn,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.50,0.08,6.0,1.0,1.00 ,,15.1,91.3,0.0,8.7,8.7,1.3
Mn,4.2,Nd,95.8,,,,,,,,,,,,,,,,,,,,Therm.decomp.,993,0.50,0.08,6.0,1.0,1.00 ,,17.3,31.0,35.0,34.0,69.0,11.9
Mn,2.1,Na,2.1,W,1.0,,,,,,,,,,,,Si,94.8,,,,,Impregnation,1123,0.16,0.04,4.6,1.0,1.33 ,,33.0,,,,80.0,26.4
Mn,2.2,W,1.1,,,,,,,,,,,,,,Si,96.7,,,,,Impregnation,1123,0.16,0.04,4.6,1.0,1.33 ,,20.0,,,,40.0,8.0
Mn,2.0,,,,,,,,,,,,,,,,Si,98.0,,,,,Impregnation,1123,0.16,0.04,4.6,1.0,1.33 ,,23.0,,,,23.0,5.3
Mn,2.2,Na,2.1,W,1.0,,,,,,,,,,,,Si,94.7,,,,,Impregnation,1023,0.22,0.03,7.4,1.0,0.02 ,,2.7,,,,78.0,2.1
Mn,1.5,Na,1.4,W,0.7,Mg,96.4,,,,,,,,,,,,,,,,Impregnation,1023,0.22,0.03,7.4,1.0,0.02 ,,3.0,,,,88.0,2.6
Mn,0.2,K,4.2,,,,,,,,,P,2.1,,,,Si,93.5,,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,22.1,,,,37.9,8.4
Mn,0.2,K,3.0,,,,,,,,,P,1.5,,,,Si,95.3,,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,22.2,,,,37.8,8.4
Mn,0.5,K,4.2,,,,,,,,,P,2.1,,,,Si,93.2,,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,25.5,,,,50.0,12.8
Mn,0.8,K,5.8,,,,,,,,,P,2.9,,,,Si,90.5,,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,16.9,,,,25.5,4.3
Mn,0.9,,,,,,,,,,,,,,,,Si,99.1,,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,14.6,,,,17.6,2.6
Mn,2.6,K,1.5,,,,,,,,,,,,,,Al,95.9,,,,,Precipitation,1073,0.80,0.20,4.0,1.0,,,18.3,,,,21.6,4.0
Mn,4.0,,,,,,,,,,,,,,,,Si,96.0,,,,,Impregnation,1050,0.88,0.12,7.5,1.0,0.22 ,,0.0,,0.0,,0.0,0.0
Mn,3.6,Na,9.1,W,4.5,,,,,,,,,,,,Si,82.8,,,,,Impregnation,1050,0.88,0.12,7.5,1.0,0.22 ,,20.0,,46.0,,80.0,16.0
Mn,1.0,Na,9.1,W,4.5,,,,,,,,,,,,Si,85.4,,,,,Impregnation,1048,0.88,0.12,7.3,1.0,0.22 ,,24.0,,,,77.0,18.5
Mn,16.9,,,,,,,,,,,,,,,,Si,83.1,,,,,Impregnation,1073,0.42,0.17,2.5,1.0,0.11 ,,20.6,72.0,15.0,,28.0,5.8
Mn,16.9,,,,,,,,,,,,,,,S,Si,83.1,,,,,Impregnation,1073,0.42,0.17,2.5,1.0,0.11 ,,20.9,70.3,17.1,,29.7,6.2
Mn,4.3,Li,0.8,,,,,,,,,,,,,,Si,94.9,,,,,Impregnation,973,0.88,0.12,7.5,1.0,0.30 ,,15.0,,,,40.0,6.0
Mn,4.5,W,0.6,,,,,,,,,,,,,,Si,94.9,,,,,Impregnation,973,0.88,0.12,7.5,1.0,0.30 ,,15.0,,,,40.0,6.0
Mn,31.7,Li,3.6,Mg,62.9,,,,,,,C,1.8,,,,,,,,,,Impregnation,923,0.07,0.03,2.0,1.0,0.16 ,,25.0,,,,0.0,0.0
Mn,31.7,Li,3.6,Mg,62.9,,,,,,,C,1.8,,,,,,,,,,Impregnation,973,0.07,0.03,2.0,1.0,0.16 ,,27.0,,,,0.0,0.0
Mn,31.7,Li,3.6,Mg,62.9,,,,,,,C,1.8,,,,,,,,,,Impregnation,1023,0.07,0.03,2.0,1.0,0.16 ,,27.0,,,,0.0,0.0
Mn,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.40,0.08,5.0,1.0,0.06 ,,11.5,,4.9,7.3,12.2,1.4
Mn,2.14 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.71 ,,,,,Impregnation,973 ,,,7.4 ,1.0 ,0.37 ,33.5 ,3.0 ,67.7 ,11.1 ,21.2 ,32.3 ,1.0 
Mn,2.14 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.71 ,,,,,Impregnation,1023 ,,,7.4 ,1.0 ,0.37 ,66.4 ,7.9 ,44.1 ,33.1 ,22.8 ,55.9 ,4.4 
Mn,2.14 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.71 ,,,,,Impregnation,1073 ,,,7.4 ,1.0 ,0.37 ,91.2 ,12.2 ,36.5 ,46.1 ,17.4 ,63.5 ,7.7 
Mn,4.36 ,,,,,,,,,,,,,,,,Si,95.64 ,,,,,Impregnation,1073 ,0.83 ,0.17 ,5.0 ,1.0 ,0.12 ,,17.0 ,,27.0 ,27.0 ,54.0 ,9.2 
Mn,4.36 ,,,,,,,,,,,,,,,,Si,95.64 ,,,,,Impregnation,1073 ,0.50 ,0.11 ,4.8 ,1.0 ,0.12 ,,19.0 ,,23.5 ,19.5 ,43.0 ,8.2 
Mn,4.45 ,W,1.04 ,,,,,,,,,,,,,,Si,94.51 ,,,,,Impregnation,1073 ,0.83 ,0.17 ,5.0 ,1.0 ,0.12 ,,25.0 ,,29.5 ,18.5 ,48.0 ,12.0 
Mn,4.45 ,W,1.04 ,,,,,,,,,,,,,,Si,94.51 ,,,,,Impregnation,1073 ,0.50 ,0.11 ,4.8 ,1.0 ,0.12 ,,24.0 ,,32.0 ,16.0 ,48.0 ,11.5 
Mn,4.30 ,Na,2.01 ,,,,,,,,,,,,,,Si,93.69 ,,,,,Impregnation,1073 ,0.83 ,0.17 ,5.0 ,1.0 ,0.12 ,,26.0 ,,45.4 ,20.6 ,66.0 ,17.2 
Mn,4.30 ,Na,2.01 ,,,,,,,,,,,,,,Si,93.69 ,,,,,Impregnation,1073 ,0.50 ,0.11 ,4.8 ,1.0 ,0.12 ,,31.0 ,,31.8 ,12.2 ,44.0 ,13.6 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1113 ,,,3.0 ,1.0 ,0.04 ,88.0 ,26.6 ,48.1 ,35.6 ,16.3 ,51.9 ,13.8 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1113 ,,,4.0 ,1.0 ,0.04 ,96.2 ,22.3 ,34.0 ,46.5 ,19.3 ,65.8 ,14.7 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1113 ,,,5.0 ,1.0 ,0.04 ,96.4 ,20.0 ,36.8 ,44.1 ,19.0 ,63.1 ,12.6 
Mn,2.25 ,Na,2.10 ,W,1.05 ,,,,,,,,,,,,Si,94.60 ,,,,,Impregnation,1113 ,,,6.0 ,1.0 ,0.04 ,98.4 ,19.4 ,38.5 ,43.0 ,18.3 ,61.3 ,11.9 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1113 ,,,3.0 ,1.0 ,0.04 ,95.0 ,30.3 ,44.8 ,36.1 ,19.0 ,55.1 ,16.7 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1113 ,,,4.0 ,1.0 ,0.04 ,97.6 ,22.6 ,32.0 ,47.2 ,20.7 ,67.9 ,15.3 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1113 ,,,5.0 ,1.0 ,0.04 ,97.4 ,20.6 ,36.0 ,43.5 ,20.5 ,64.0 ,13.2 
Mn,2.26 ,Na,2.11 ,W,1.05 ,Ce,0.22 ,,,,,,,,,,Si,94.36 ,,,,,Impregnation,1113 ,,,6.0 ,1.0 ,0.04 ,99.3 ,20.3 ,37.4 ,43.6 ,18.7 ,62.3 ,12.6 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1113 ,,,3.0 ,1.0 ,0.04 ,96.1 ,32.1 ,41.5 ,37.4 ,21.0 ,58.4 ,18.7 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1113 ,,,4.0 ,1.0 ,0.04 ,97.7 ,23.9 ,29.9 ,48.3 ,21.7 ,70.0 ,16.7 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1113 ,,,5.0 ,1.0 ,0.04 ,98.8 ,20.9 ,34.9 ,44.5 ,20.5 ,65.0 ,13.6 
Mn,2.26 ,Na,2.12 ,W,1.06 ,Ce,0.44 ,,,,,,,,,,Si,94.12 ,,,,,Impregnation,1113 ,,,6.0 ,1.0 ,0.04 ,99.4 ,21.8 ,35.9 ,45.2 ,18.9 ,64.1 ,14.0 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1113 ,,,3.0 ,1.0 ,0.04 ,98.8 ,33.8 ,39.4 ,38.6 ,22.0 ,60.6 ,20.5 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1113 ,,,4.0 ,1.0 ,0.04 ,98.9 ,25.1 ,27.2 ,48.9 ,23.9 ,72.8 ,18.3 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1113 ,,,5.0 ,1.0 ,0.04 ,99.7 ,21.6 ,33.1 ,45.4 ,21.4 ,66.8 ,14.4 
Mn,2.28 ,Na,2.13 ,W,1.07 ,Ce,1.12 ,,,,,,,,,,Si,93.40 ,,,,,Impregnation,1113 ,,,6.0 ,1.0 ,0.04 ,99.3 ,22.5 ,34.4 ,45.0 ,20.6 ,65.6 ,14.8 
Mn,2.32 ,Na,2.17 ,W,1.08 ,Ce,2.27 ,,,,,,,,,,Si,92.16 ,,,,,Impregnation,1113 ,,,3.0 ,1.0 ,0.04 ,98.2 ,33.9 ,37.5 ,40.6 ,21.8 ,62.4 ,21.2 
