Promotor,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Mn_C_mol%,Na_C_mol%,Li_C_mol%,Mg_C_mol%,Ti_C_mol%,Si_C_mol%,Ag_C_mol%,W_C_mol%,Mo_C_mol%,Nd_C_mol%,K_C_mol%,Ce_C_mol%,La_C_mol%,Ga_C_mol%,Zr_C_mol%,Ba_C_mol%,Ni_C_mol%,Al_C_mol%,Rb_C_mol%,Ca_C_mol%,Cu_C_mol%,Cr_C_mol%,Nb_C_mol%,Sn_C_mol%,Fe_C_mol%,Ge_C_mol%,Cs_C_mol%,Zn_C_mol%,Sr_C_mol%,Gd_C_mol%,Sm_C_mol%,Ta_C_mol%,Co_C_mol%,Rh_C_mol%,Ir_C_mol%,Pt_C_mol%, Na _C_mol%,P_C_mol%,Cl_A_mol%,P_A_mol%,C_A_mol%,S_A_mol%,B_A_mol%,Al_S_mol%,Si_S_mol%,La_S_mol%,Ca_S_mol%,Zr_S_mol%,C_S_mol%,Mg_S_mol%,Fe_S_mol%,Sr_S_mol%,Ti_S_mol%,Co_S_mol%
0,Impregnation,1073,0.4,0.08,4.8,1.0,0.04,0.0,11.0,0.0,0.0,0.0,45.5,5.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Impregnation,1023,0.66,0.07,9.4,1.0,1.8,0.0,14.4,0.0,71.5,12.5,84.0,12.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl,n.a.,1023,0.67,0.07,10.0,1.0,2.0,0.0,14.0,0.0,71.0,13.0,84.0,11.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Impregnation,1113,0.5,0.1,5.0,1.0,0.22,0.0,12.0,0.0,0.0,0.0,6.0,0.7,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Impregnation,1048,0.5,0.1,4.8,1.0,1.0,92.0,48.0,0.0,26.0,13.0,39.0,18.7,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,n.a.,1073,0.28,0.13,2.1,1.0,0.52,0.0,26.0,0.0,46.0,34.0,80.0,20.8,0.4,0.0,18.1,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,n.a.,1053,0.33,0.17,2.0,1.0,0.39,0.0,32.0,0.0,0.0,0.0,50.0,16.0,40.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,n.a.,1023,0.03,0.02,1.9,1.0,1.23,90.0,34.9,0.0,0.0,0.0,46.0,16.1,0.8,0.0,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,n.a.,1073,0.42,0.17,2.5,1.0,3.6,0.0,37.0,0.0,0.0,0.0,82.0,30.3,25.0,0.0,50.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl,n.a.,1023,0.67,0.33,2.0,1.0,3.3,100.0,52.0,43.0,44.0,5.0,49.0,25.5,11.0,20.5,0.0,0.0,0.0,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
