Promotor,Preparation,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Na_C_mol%,Mg_C_mol%,Ca_C_mol%,Al_C_mol%,K_C_mol%,Sr_C_mol%,Mn_C_mol%,Pb_C_mol%,La_C_mol%,Ba_C_mol%,Co_C_mol%,Zr_C_mol%,Si_C_mol%,Zn_C_mol%,W_C_mol%,Mo_C_mol%,Gd_C_mol%,Sm_C_mol%,Pr_C_mol%,Bi_C_mol%,Ti_C_mol%,Ag_C_mol%,P_C_mol%,Ni_C_mol%,Ce_C_mol%,Yb_C_mol%,Cu_C_mol%,Fe_C_mol%,Li_C_mol%,Cs_C_mol%,Rb_C_mol%,Y_C_mol%,Nb_C_mol%,Ta_C_mol%,Tb_C_mol%,Th_C_mol%,Rh_C_mol%,Ir_C_mol%,Pt_C_mol%,Cr_C_mol%, Na _C_mol%,Sn_C_mol%,V_C_mol%,Sc_C_mol%,Nd_C_mol%,Ga_C_mol%,Ge_C_mol%,Sb_C_mol%,S_A_mol%,C_A_mol%,P_A_mol%,Cl_A_mol%,I_A_mol%,Br_A_mol%,F_A_mol%,B_A_mol%,Si_S_mol%,Al_S_mol%,C_S_mol%,Mg_S_mol%,Co_S_mol%,La_S_mol%,Ce_S_mol%,Pr_S_mol%,Nd_S_mol%,Sm_S_mol%,Tb_S_mol%,Dy_S_mol%,Yb_S_mol%,Ca_S_mol%,Zr_S_mol%,Fe_S_mol%,Sr_S_mol%,Ti_S_mol%,Sn_S_mol%
0,Impregnation,1017,8,1,0.19,39,3,0,23,19,42,1.3,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Impregnation,1021,8,1,0.16,98,16,0,24,39,63,10.1,5.5,0,94.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Impregnation,1023,8.1,1,38.4,97,15,0,25,44,69,10.4,7,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Impregnation,1018,8.1,1,0.25,92,16,0,26,45,71,11.4,3.6,0,94.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Impregnation,1016,9.6,1,0.49,98,13,0,20,41,61,7.9,9.8,0,85.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Impregnation,1026,8,1,0.47,95,10,0,16,36,52,5.2,7,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Impregnation,1018,9.6,1,1.92,93,11,0,19,36,55,6.1,36,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,n.a.,1020,8.1,1,8.5,71,10,0,28,19,47,4.7,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Therm.decomp.,1017,9.6,1,0.2,94,6,0,50,39,89,5.3,2,0,37,0,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Therm.decomp.,1123,2,1,6,0,14.2,0,0,0,81.8,11.6,3.8,92.4,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
