,1st,2nd,3rd,4th,5th,6th
Ti_S_mol%,0.23099122131162983,-0.720057986662793,0.46627265702073384,0.31415320479546677,0.016525576783470663,-0.035318248409201204
Ca_C_mol%,0.14788862726249846,0.15935857610053505,-0.5112893235206666,0.6858289845659359,0.0665199904886657,-0.18236882448348654
Na_C_mol%,0.10060786027448697,0.08823998819443549,-0.07515857258152847,-0.18725663167686152,-0.28886072798391493,-0.19973019082234605
La_C_mol%,0.08594155280592629,0.14262227647196374,0.1294350760448283,-0.05191710754403279,-0.1680860127967325,0.17577088127671534
Mg_C_mol%,0.08493834286576656,0.04488415299676225,-0.0612542002324272,-0.21986503414860065,0.25422142930417363,-0.24290750946152312
Ti_C_mol%,0.07447011538291803,0.0315969104241673,-0.07759473046607604,-0.24702484378662884,0.7666982842960292,0.11302962467882614
Mn_C_mol%,0.06394682439299894,0.19939550947585574,0.23191430134329596,-0.058083992959687636,-0.1102091127643151,0.07579308100846101
Zr_C_mol%,0.058456139223853044,0.021668896929248414,-0.06623458331307015,-0.17260577074207226,-0.25640721167015734,-0.19589730164144017
Mg_S_mol%,0.05569995675223651,-0.013877990438530533,-0.1361888005311383,-0.12110624616203312,-0.14407405563638323,0.6135591619970068
P_A_mol%,0.04147634922412729,-0.00044702455067100795,-0.08292582362343454,-0.19515902836754642,-0.2728560495951339,-0.26453333305244425
Promotor,0.038113240056519955,0.12011963909081508,0.15790493519951684,-0.027494928853282457,0.1812114640232484,-0.045847615985987196
Cl_A_mol%,0.033385195131819374,0.024890789380333504,-0.01793258735735027,-0.05186089614286944,-0.06127517665581382,-0.0375787413872703
"Contact time, s",0.01727666891965765,0.025759053990637888,-0.022864569821509268,0.023068080214239162,-0.0014211399843807155,-0.008643744871834088
S_A_mol%,0.01353561281274789,0.001199947565910956,-0.0374172271408213,-0.05321660213651641,-0.07203131098392587,-0.07605079446751084
Ba_C_mol%,0.005802046631183922,0.0005226566170651102,-0.00666751435018191,-0.01302190760838408,0.0036921458148850045,0.00857443651111742
Ce_C_mol%,0.0053524801102309135,-0.011909088140564334,-0.010348478337018437,-0.0019664520785755454,-0.00959282806908339,0.016962676715712586
"p total, bar",0.004340131905612725,-0.0003721573734826359,-9.925719714526908e-05,-0.002753262365672618,0.001661001594073354,-0.01116637931061056
C_S_mol%,0.0013422962545349797,0.0004667265607330612,-0.0005897076891776462,-0.0035939582283523765,-0.0024342818181003895,-0.000823025550784756
p(CH4)/p(O2),-0.014613660095858697,0.04946303327487241,-0.10186515225493219,0.3217119417952352,-4.217823843334237e-06,0.1954222049118879
W_C_mol%,-0.023994836123798647,-0.029234859912046725,0.013296009003008345,-0.01130958499338525,-0.0007747428490575227,0.00824826889781978
"Temperature, K",-0.03781294549266266,-0.04404473396884752,0.07109072771728493,-0.03933309616226788,0.1189664248602876,-0.5306209495329945
Preparation,-0.22206878395646384,-0.6013711065131379,-0.5772113614267316,-0.2524624669211106,-0.041191166249369304,0.03879034056801842
Si_S_mol%,-0.9096753242215204,0.04261398098343756,0.17114904177367177,0.14828785134274539,0.017546424934429646,-0.03454673390461419
