Promotor,Preparation,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Na_C_mol%,Mg_C_mol%,Ca_C_mol%,Mn_C_mol%,La_C_mol%,Ba_C_mol%,Zr_C_mol%,W_C_mol%,Ti_C_mol%,Ce_C_mol%,S_A_mol%,P_A_mol%,Cl_A_mol%,Si_S_mol%,C_S_mol%,Mg_S_mol%,Ti_S_mol%
0,1,1017,8.0,1.0,0.19,39.0,3.0,0.0,23.0,19.0,42.0,1.3,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1021,8.0,1.0,0.16,98.0,16.0,0.0,24.0,39.0,63.0,10.1,5.5,0.0,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1023,8.1,1.0,38.4,97.0,15.0,0.0,25.0,44.0,69.0,10.4,7.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1018,8.1,1.0,0.25,92.0,16.0,0.0,26.0,45.0,71.0,11.4,3.6,0.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1026,8.0,1.0,0.47,95.0,10.0,0.0,16.0,36.0,52.0,5.2,7.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1123,2.0,1.0,6.0,0.0,14.2,0.0,0.0,0.0,81.8,11.6,3.8,92.4,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1123,2.0,1.0,6.0,0.0,20.5,0.0,0.0,0.0,65.6,13.4,3.8,85.4,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
0,1,1073,6.0,1.0,0.1,100.0,20.0,0.0,31.4,33.2,64.6,12.9,10.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1073,6.0,1.0,0.1,100.0,19.4,0.0,27.5,31.6,59.1,11.5,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1073,1.9,1.0,2.4,0.0,39.0,0.0,0.0,0.0,57.0,22.2,14.9,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,980,4.7,1.0,7.2,0.0,15.0,0.0,36.0,37.0,73.0,10.9,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1073,1.9,1.0,2.4,0.0,36.0,0.0,0.0,0.0,42.0,15.1,2.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1013,9.0,1.0,0.36,97.0,17.0,0.0,0.0,0.0,78.0,13.3,2.6,0.0,97.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1013,9.0,1.0,0.36,95.0,16.0,0.0,0.0,0.0,76.0,12.2,6.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1013,9.0,1.0,0.72,96.0,14.0,0.0,0.0,0.0,76.0,10.6,17.4,0.0,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1013,9.0,1.0,0.24,95.0,14.0,0.0,0.0,0.0,73.0,10.2,2.8,0.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1013,9.0,1.0,0.19,92.0,16.0,0.0,0.0,0.0,78.0,12.5,7.0,0.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1013,9.0,1.0,0.2,82.0,15.0,0.0,0.0,0.0,78.0,11.7,10.4,0.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1013,2.4,1.0,0.3,84.0,30.0,0.0,0.0,0.0,56.0,16.8,5.6,0.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
