Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
Mn,9.2,,,,,,,,,,,,,,,,Al,90.8,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,11,,,,45.5,5
Cd,4.7,,,,,,,,,,,,,,,,Al,95.3,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,10,,,,40,4
Sn,4.5,,,,,,,,,,,,,,,,Al,95.5,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,8.4,,,,4.8,0.4
Ti,10.4,,,,,,,,,,,,,,,,Al,89.6,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,6.8,,,,44.1,3
Pt,2.8,,,,,,,,,,,,,,,,Al,97.2,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,8,,,,1.3,0.1
Ce,3.8,,,,,,,,,,,,,,,,Al,96.2,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,5,,,,2,0.1
Pb,2.6,,,,,,,,,,,,,,,,Al,97.4,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,4.6,,,,43.5,2
Bi,2.6,,,,,,,,,,,,,,,,Al,97.4,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,4.4,,,,9.1,0.4
Mo,5.5,,,,,,,,,,,,,,,,Al,94.5,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,4,,,,2.5,0.1
Cu,8,,,,,,,,,,,,,,,,Al,92,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,4,,,,0,0
Sb,4.4,,,,,,,,,,,,,,,,Al,95.6,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,3.5,,,,42.9,1.5
Li,44.6,,,,,,,,,,,,,,,,Al,55.4,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,3.2,,,,6.3,0.2
Mg,18.7,,,,,,,,,,,,,,,,Al,81.3,,,,,Impregnation,1073,0.4,0.08,4.8,1,0.04,,2,,,,40,0.8
Pb,10,,,,,,,,,,,,,,,,Al,90,,,,,Impregnation,973,0.26,0.05,5,1,0.24,,9,,12.2,26.2,38.4,3.5
Pb,10,Bi,90,,,,,,,,,,,,,,,,,,,,Impregnation,973,0.25,0.04,6.1,1,10,,8,,14.4,31.8,46.2,3.7
Pb,10,Bi,10,Sb,80,,,,,,,,,,,,,,,,,,Impregnation,973,0.47,0.03,14.2,1,8.7,,12,,5.1,39.7,44.8,5.4
Pb,50,,,,,,,,,,,,,,,,Al,50,,,,,Impregnation,1023,0.51,0.05,9.8,1,4.3,,7,,11.2,41.1,52.3,3.7
Pb,20,,,,,,,,,,,,,,,,Al,80,,,,,Therm.decomp.,1023,0.5,0.05,10,1,1.03,90,12.1,,11.2,41.1,52.3,6.3
Li,30.3,Mg,69.7,,,,,,,,,,,,,,,,,,,,n.a.,993,0.08,0.04,2,1,5.3,85,38,,,,50,19
Mg,66.7,,,,,,,,,,,S,33.3,,,,,,,,,,Impregnation,1019,0.65,0.08,8.1,1,1.4,39,4,,23,41,64,2.6
Mg,55,,,,,,,,,,,S,45,,,,,,,,,,Impregnation,1017,0.66,0.08,8.3,1,3,65,10,,27,40,67,6.7
Na,7,Mg,33,,,,,,,,,S,60,,,,,,,,,,Impregnation,1017,0.64,0.08,8,1,0.19,39,3,,23,19,42,1.3
Na,5.5,Ca,94.5,,,,,,,,,,,,,,,,,,,,Impregnation,1021,0.64,0.08,8,1,0.16,98,16,,24,39,63,10.1
Na,7,Ca,93,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.65,0.08,8.1,1,38.4,97,15,,25,44,69,10.4
Pb,8,Ca,61.3,Si,30.7,,,,,,,,,,,,,,,,,,Impregnation,1013,0.66,0.08,8.3,1,9.9,94,9,,9,36,45,4.1
