Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %"
Sr,50.0,,,,,,,,,,,C,50.0,,,,,,,,,,n.a.,1014,0.65,0.08,8.6,1.0,18.20 ,64.0,7.0,,12.0,28.0,40.0,2.8
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1019,0.77,0.05,15.4,1.0,17.80 ,99.0,13.0,,29.0,21.0,50.0,6.5
Sr,50.0,,,,,,,,,,,S,50.0,,,,,,,,,,n.a.,1015,0.63,0.08,7.7,1.0,56.00 ,100.0,13.0,,3.0,5.0,8.0,1.0
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1123,0.63,0.08,8.1,1.0,4.40 ,100.0,8.0,,53.0,37.0,90.0,7.2
Sr,4.6,Ca,95.4,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1120,0.66,0.08,8.3,1.0,0.84 ,100.0,13.0,,16.0,37.0,53.0,6.9
Sr,10.0,La,90.0,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,20.6,,28.0,35.2,63.2,13.2
Sr,0.4,La,99.5,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,21.2,,28.9,35.2,64.1,13.6
Sr,0.8,La,99.2,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,21.4,,29.0,36.2,65.2,14.0
Sr,1.5,La,98.5,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,20.9,,28.7,34.9,63.6,13.3
Sr,3.0,La,97.0,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,21.0,,28.9,35.8,64.7,13.6
Sr,15.0,La,85.0,,,,,,,,,,,,,,,,,,,,Impregnation,1023,0.30,0.05,6.0,1.0,0.10 ,100.0,19.6,,28.0,35.2,63.2,12.4
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1123,0.30,0.05,6.0,1.0,0.10 ,36.0,8.0,,22.1,46.5,68.6,5.5
Sr,1.3,Ca,98.7,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.67,0.07,9.6,1.0,0.42 ,100.0,9.5,,16.4,36.7,53.1,5.0
Sr,1.9,La,98.1,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.30,0.05,6.0,1.0,0.18 ,100.0,21.0,31.0,29.0,35.0,64.0,13.4
Sr,2.6,Sm,94.8,,,,,,,,,C,2.6,,,,,,,,,,Therm.decomp.,846,0.71,0.29,2.5,1.0,1.40 ,,31.4,,25.0,14.5,39.5,12.4
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1013,0.67,0.08,8.0,1.0,25.00 ,88.0,12.0,28.0,36.0,28.0,64.0,7.7
Sr,28.6,Li,71.4,,,,,,,,,,,,,,,,,,,,n.a.,1073,0.33,0.17,2.0,1.0,0.39 ,,37.0,,,,55.0,20.4
Sr,3.0,,,,,,,,,,,Cl,6.0,,,Cl,Al,91.0,,,,,Impregnation,1023,0.10,0.05,2.0,1.0,1.50 ,,30.3,,,,56.0,17.0
Sr,9.1,La,90.9,,,,,,,,,,,,,,,,,,,,Precipitation,1189,0.70,0.10,7.0,1.0,0.15 ,,14.6,,,,9.1,1.3
Sr,33.3,La,66.7,,,,,,,,,,,,,,,,,,,,Precipitation,1153,0.88,0.13,6.7,1.0,0.02 ,99.6,21.2,,,,73.1,15.5
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.09,0.05,2.0,1.0,0.19 ,39.0,24.0,52.0,25.0,23.0,48.0,11.5
Sr,50.0,,,,,,,,,,,C,50.0,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24 ,43.3,7.0,,,,67.5,4.7
Sr,50.0,Th,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24 ,56.5,9.3,,,,73.3,6.8
Sr,50.0,Th,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24 ,74.1,12.0,,,,75.0,9.0
Sr,50.0,Zr,50.0,,,,,,,,,,,,,,,,,,,,n.a.,1013,0.40,0.10,4.0,1.0,0.01 ,,21.0,,34.0,34.0,68.0,14.3
Sr,1.3,,,,,,,,,,,,,,,Cl,Al,98.7,,,,,n.a.,1023,0.10,0.05,2.0,1.0,4.60 ,,49.0,56.0,42.0,2.0,44.0,21.6
Sr,2.0,,,,,,,,,,,Cl,4.0,,,,Al,94.0,,,,,Impregnation,923,0.09,0.04,2.2,1.0,2.40 ,,7.5,,,,61.0,4.6
Sr,2.0,,,,,,,,,,,Cl,4.0,,,Cl,Al,94.0,,,,,Impregnation,923,0.09,0.04,2.2,1.0,6.00 ,,8.9,,,,67.0,6.0
Sr,9.1,Y,90.9,,,,,,,,,,,,,,,,,,,,Impregnation,1059,0.92,0.09,10.0,1.0,0.02 ,94.5,14.6,26.0,,,74.9,10.9
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1141,0.91,0.09,10.0,1.0,0.02 ,88.0,13.0,30.0,46.0,24.0,70.0,9.1
Sr,33.3,Y,66.7,,,,,,,,,,,,,,,,,,,,n.a.,1051,0.91,0.09,10.0,1.0,0.02 ,92.0,15.0,23.0,41.0,36.0,77.0,11.6
Sr,33.3,Th,66.7,,,,,,,,,,,,,,,,,,,,n.a.,1080,0.91,0.09,10.0,1.0,0.02 ,74.0,12.0,25.0,37.0,38.0,75.0,9.0
Sr,33.3,La,66.7,,,,,,,,,,,,,,,,,,,,n.a.,1032,0.91,0.09,10.0,1.0,0.02 ,100.0,15.0,22.0,34.0,44.0,78.0,11.7
Sr,33.3,Y,66.7,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1051,0.92,0.09,10.0,1.0,0.02 ,92.0,14.7,23.0,,,77.4,11.4
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.03,0.01,2.0,1.0,2.17 ,95.0,32.0,3.0,,,31.3,10.0
Sr,33.3,Al,66.7,,,,,,,,,,,,,Cl,,,,,,,n.a.,923,0.09,0.04,2.2,1.0,2.40 ,,7.0,,23.0,38.0,61.0,4.3
Sr,3.5,,,,,,,,,,,,,,,Cl,Al,96.5,,,,,n.a.,1023,0.10,0.05,2.0,1.0,3.00 ,,21.0,35.0,41.0,24.0,65.0,13.6
Sr,2.6,,,,,,,,,,,,,,,Cl,Al,97.4,,,,,n.a.,1023,0.10,0.05,2.0,1.0,1.50 ,,32.0,44.0,37.0,19.0,56.0,17.9
Sr,50.0,Co,40.0,Fe,10.0,,,,,,,,,,,,,,,,,,Sol-gel,1023,0.67,0.33,2.0,1.0,,,4.7,,,,93.9,4.4
Sr,50.0,Co,30.0,Fe,20.0,,,,,,,,,,,,,,,,,,Sol-gel,1023,0.67,0.33,2.0,1.0,,,12.8,,,,47.0,6.0
Sr,50.0,,,,,,,,,,,C,50.0,,,,,,,,,,n.a.,1023,0.95,0.05,19.0,1.0,0.02 ,,0.6,,,,52.0,0.3
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,n.a.,1123,0.96,0.05,18.9,1.0,0.05 ,92.0,9.5,,,,79.0,7.5
Sr,20.0,Nb,40.0,Bi,40.0,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.40,0.08,5.0,1.0,0.60 ,82.7,13.9,54.6,16.2,29.1,45.3,6.3
Sr,8.0,Ba,8.0,,,,,,,,,,,,,,Si,84.0,,,,,Impregnation,1048,0.28,0.04,7.3,1.0,3.00 ,,6.5,,,,20.0,1.3
Sr,37.0,Mg,63.0,,,,,,,,,,,,,,,,,,,,Precipitation,1123,0.95,0.05,19.0,1.0,0.05 ,100.0,10.3,4.0,31.0,,83.0,8.5
Sr,20.0,Mg,78.0,,,,,,,,,P,2.0,,,,,,,,,,Precipitation,1123,0.95,0.05,19.0,1.0,0.05 ,100.0,4.6,,,,72.0,3.3
Sr,50.0,Fe,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1000,0.84,0.03,25.5,1.0,0.61 ,95.0,4.0,50.0,15.0,35.0,50.0,2.0
Sr,50.0,Ti,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1003,0.29,0.14,2.0,1.0,0.06 ,,10.1,,,,29.0,2.9
Sr,66.7,Ti,33.3,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1003,0.29,0.14,2.0,1.0,0.06 ,,12.6,,,,33.3,4.2
Sr,50.0,Sn,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1003,0.29,0.14,2.0,1.0,0.06 ,,6.2,,,,24.2,1.5
Sr,66.7,Sn,33.3,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1003,0.29,0.14,2.0,1.0,0.06 ,,8.0,,,,27.4,2.2
Sr,50.0,Zr,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1003,0.29,0.14,2.0,1.0,0.06 ,,12.3,,,,26.1,3.2
Sr,66.7,Zr,33.3,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1003,0.29,0.14,2.0,1.0,0.06 ,,10.4,,,,30.7,3.2
Sr,3.9,La,92.2,,,,,,,,,S,3.9,,,,,,,,,,Impregnation,973,0.83,0.17,4.8,1.0,0.05 ,,21.0,,,,45.0,9.4
Sr,3.9,La,96.1,,,,,,,,,,,,,,,,,,,,n.a.,973,0.83,0.17,4.8,1.0,0.05 ,,25.0,,,,55.0,13.8
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.20,0.25,0.8,1.0,0.24 ,,0.9,,0.0,51.2,51.2,0.5
Sr,20.0,La,80.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,873,0.20,0.25,0.8,1.0,0.24 ,,28.4,,27.2,22.6,49.8,14.1
Sr,50.0,La,50.0,,,,,,,,,,,,,,,,,,,,Therm.decomp.,973,0.20,0.25,0.8,1.0,0.24 ,,30.2,,29.2,21.7,50.9,15.4
Sr,20.0,La,20.0,,,,,,,,,F,60.0,,,,,,,,,,Therm.decomp.,1023,0.20,0.25,0.8,1.0,0.24 ,,31.8,,37.8,16.2,54.0,17.2
Sr,33.0,La,16.7,,,,,,,,,F,50.3,,,,,,,,,,Therm.decomp.,973,0.20,0.25,0.8,1.0,0.24 ,,33.1,,36.4,20.5,56.9,18.8
Sr,50.0,La,12.5,,,,,,,,,F,37.5,,,,,,,,,,Therm.decomp.,1023,0.20,0.25,0.8,1.0,0.24 ,,33.8,,40.0,13.9,53.9,18.2
Sr,100.0,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1023,0.75,0.25,3.0,1.0,0.24 ,,0.9,48.8,0.0,51.2,51.2,0.5
Sr,25.0,,,,,,,,,,,F,75.0,,,,,,,,,,Therm.decomp.,1023,0.75,0.25,3.0,1.0,0.24 ,,0.7,46.0,0.0,54.0,54.0,0.4
Sr,33.3,La,66.7,,,,,,,,,,,,,,,,,,,,Therm.decomp.,973,0.75,0.25,3.0,1.0,0.24 ,,30.2,49.1,29.2,21.7,50.9,15.4
Sr,12.9,La,61.5,,,,,,,,,F,25.6,,,,,,,,,,Therm.decomp.,973,0.75,0.25,3.0,1.0,0.24 ,,34.7,42.5,35.8,21.7,57.5,20.0
Sr,16.7,La,33.3,Ca,50.0,,,,,,,,,,,,,,,,,,Impregnation,1073,0.90,0.10,9.0,1.0,0.06 ,,18.5,,,,78.4,14.5
Sr,4.7,La,33.3,Ca,62.0,,,,,,,,,,,,,,,,,,Impregnation,1073,0.90,0.10,9.0,1.0,0.06 ,,16.8,,,,77.3,13.0
Sr,3.5,,,,,,,,,,,,,,,,Si,96.5,,,,,Impregnation,1048,0.28,0.04,7.1,1.0,3.00 ,,9.0,,10.0,7.0,17.0,1.5
Sr,4.8,Y,95.2,,,,,,,,,,,,,,,,,,,,Precipitation,1023,0.70,0.17,4.1,1.0,0.59 ,100.0,18.7,65.6,24.3,10.1,34.4,6.4
Sr,33.3,La,33.3,Zr,33.4,,,,,,,,,,,,,,,,,,n.a.,1153,0.41,0.17,2.4,1.0,0.30 ,,36.5,,,,49.0,17.9
Sr,2.6,Nd,97.4,,,,,,,,,,,,,,,,,,,,Precipitation,1023,0.60,0.06,10.0,1.0,0.93 ,93.0,13.0,,,,70.0,9.1
Sr,22.3,Y,33.0,,,,,,,,,F,44.7,,,,,,,,,,Therm.decomp.,1073,0.75,0.15,5.0,1.0,0.18 ,99.1,34.0,42.9,36.7,20.4,57.1,19.4
Sr,9.1,La,18.2,Zr,72.7,,,,,,,,,,,,,,,,,,Impregnation,1073,0.50,0.10,5.0,1.0,0.04 ,,23.1,35.4,26.7,37.9,64.6,14.9
Sr,9.1,La,90.9,,,,,,,,,,,,,,,,,,,,Impregnation,1073,0.80,0.20,4.0,1.0,0.04 ,,26.7,,,,60.7,16.2
Sr,1.0,La,5.6,,,,,,,,,,,,,,Si,9.4,Al,84.0,,,Impregnation,1073,0.80,0.20,4.0,1.0,0.04 ,,29.1,,,,63.3,18.4
Sr,11.1,Pr,66.7,,,,,,,,,F,22.2,,,,,,,,,,Therm.decomp.,1123,0.55,0.16,3.4,1.0,0.20 ,98.1,29.2,,31.4,26.6,58.0,16.9
Sr,20.0,Pr,40.0,,,,,,,,,F,40.0,,,,,,,,,,Therm.decomp.,1123,0.55,0.16,3.4,1.0,0.20 ,98.3,29.4,,30.7,28.0,58.7,17.3
