Promotor,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2), %",Sr_C_mol%,Ca_C_mol%,La_C_mol%,Sm_C_mol%,Li_C_mol%,Th_C_mol%,Zr_C_mol%,Y_C_mol%,Al_C_mol%,Co_C_mol%,Fe_C_mol%,Nb_C_mol%,Bi_C_mol%,Ba_C_mol%,Mg_C_mol%,Ti_C_mol%,Sn_C_mol%,Nd_C_mol%,Pr_C_mol%,Ce_C_mol%,Yb_C_mol%,Eu_C_mol%,Gd_C_mol%,Dy_C_mol%,Er_C_mol%,Ho_C_mol%,Tm_C_mol%,Ni_C_mol%,Pb_C_mol%,Na_C_mol%,K_C_mol%,Rb_C_mol%,Cs_C_mol%,Tl_C_mol%,Mn_C_mol%,W_C_mol%,Cu_C_mol%,Rh_C_mol%,Pd_C_mol%,Si_C_mol%,Mo_C_mol%,Zn_C_mol%,Cr_C_mol%,C_A_mol%,S_A_mol%,Cl_A_mol%,P_A_mol%,F_A_mol%,N_A_mol%,Al_S_mol%,Si_S_mol%,La_S_mol%,Ca_S_mol%
0,n.a.,1014,0.65,0.08,8.6,1.0,18.2,64.0,7.0,0.0,12.0,28.0,40.0,2.8,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,n.a.,1019,0.77,0.05,15.4,1.0,17.8,99.0,13.0,0.0,29.0,21.0,50.0,6.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,n.a.,1015,0.63,0.08,7.7,1.0,56.0,100.0,13.0,0.0,3.0,5.0,8.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Therm.decomp.,1123,0.63,0.08,8.1,1.0,4.4,100.0,8.0,0.0,53.0,37.0,90.0,7.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Therm.decomp.,1120,0.66,0.08,8.3,1.0,0.84,100.0,13.0,0.0,16.0,37.0,53.0,6.9,4.6,95.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Impregnation,1023,0.3,0.05,6.0,1.0,0.1,100.0,20.6,0.0,28.0,35.2,63.2,13.2,10.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Impregnation,1023,0.3,0.05,6.0,1.0,0.1,100.0,21.2,0.0,28.9,35.2,64.1,13.6,0.4,0.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Impregnation,1023,0.3,0.05,6.0,1.0,0.1,100.0,21.4,0.0,29.0,36.2,65.2,14.0,0.8,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Impregnation,1023,0.3,0.05,6.0,1.0,0.1,100.0,20.9,0.0,28.7,34.9,63.6,13.3,1.5,0.0,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Impregnation,1023,0.3,0.05,6.0,1.0,0.1,100.0,21.0,0.0,28.9,35.8,64.7,13.6,3.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
