Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE
723,1,0.648,0.704915299,1.021723868,0.68754098
723,1,0.72,0.704915299,1.021723868,0.68754098
723,1,0.792,0.704915299,1.021723868,0.68754098
723,1,0.864,0.704915299,1.021723868,0.68754098
723,1,0.936,0.704915299,1.021723868,0.68754098
723,1,1.008,0.704915299,1.021723868,0.68754098
723,1,1.08,0.704915299,1.021723868,0.68754098
723,1,1.152,0.704915299,1.021723868,0.68754098
723,1,1.224,0.704915299,1.021723868,0.68754098
723,1,1.296,0.704915299,1.021723868,0.68754098
723,1,1.368,0.704915299,1.021723868,0.68754098
723,1,1.44,0.704915299,1.021723868,0.68754098
723,1.25,0.648,0.704915299,1.021723868,0.68754098
723,1.25,0.72,0.704915299,1.021723868,0.68754098
723,1.25,0.792,0.704915299,1.021723868,0.68754098
723,1.25,0.864,0.704915299,1.021723868,0.68754098
723,1.25,0.936,0.704915299,1.021723868,0.68754098
723,1.25,1.008,0.704915299,1.021723868,0.68754098
723,1.25,1.08,0.704915299,1.021723868,0.68754098
723,1.25,1.152,0.704915299,1.021723868,0.68754098
723,1.25,1.224,0.704915299,1.021723868,0.68754098
723,1.25,1.296,0.704915299,1.021723868,0.68754098
723,1.25,1.368,0.704915299,1.021723868,0.68754098
723,1.25,1.44,0.704915299,1.021723868,0.68754098
746.2,1,0.648,0.704915299,1.021723868,0.68754098
746.2,1,0.72,0.704915299,1.021723868,0.68754098
746.2,1,0.792,0.704915299,1.021723868,0.68754098
746.2,1,0.864,0.704915299,1.021723868,0.68754098
746.2,1,0.936,0.704915299,1.021723868,0.68754098
746.2,1,1.008,0.704915299,1.021723868,0.68754098
746.2,1,1.08,0.704915299,1.021723868,0.68754098
746.2,1,1.152,0.704915299,1.021723868,0.68754098
746.2,1,1.224,0.704915299,1.021723868,0.68754098
746.2,1,1.296,0.704915299,1.021723868,0.68754098
746.2,1,1.368,0.704915299,1.021723868,0.68754098
746.2,1,1.44,0.704915299,1.021723868,0.68754098
746.2,1.25,0.648,0.704915299,1.021723868,0.68754098
746.2,1.25,0.72,0.704915299,1.021723868,0.68754098
746.2,1.25,0.792,0.704915299,1.021723868,0.68754098
746.2,1.25,0.864,0.704915299,1.021723868,0.68754098
746.2,1.25,0.936,0.704915299,1.021723868,0.68754098
746.2,1.25,1.008,0.704915299,1.021723868,0.68754098
746.2,1.25,1.08,0.704915299,1.021723868,0.68754098
746.2,1.25,1.152,0.704915299,1.021723868,0.68754098
746.2,1.25,1.224,0.704915299,1.021723868,0.68754098
746.2,1.25,1.296,0.704915299,1.021723868,0.68754098
746.2,1.25,1.368,0.704915299,1.021723868,0.68754098
746.2,1.25,1.44,0.704915299,1.021723868,0.68754098
769.4,1,0.648,0.704915299,1.021723868,0.68754098
769.4,1,0.72,0.704915299,1.021723868,0.68754098
769.4,1,0.792,0.704915299,1.021723868,0.68754098
769.4,1,0.864,0.704915299,1.021723868,0.68754098
769.4,1,0.936,0.704915299,1.021723868,0.68754098
769.4,1,1.008,0.704915299,1.021723868,0.68754098
769.4,1,1.08,0.704915299,1.021723868,0.68754098
769.4,1,1.152,0.704915299,1.021723868,0.68754098
769.4,1,1.224,0.704915299,1.021723868,0.68754098
769.4,1,1.296,0.704915299,1.021723868,0.68754098
769.4,1,1.368,0.704915299,1.021723868,0.68754098
769.4,1,1.44,0.704915299,1.021723868,0.68754098
769.4,1.25,0.648,0.704915299,1.021723868,0.68754098
769.4,1.25,0.72,0.704915299,1.021723868,0.68754098
769.4,1.25,0.792,0.704915299,1.021723868,0.68754098
769.4,1.25,0.864,0.704915299,1.021723868,0.68754098
769.4,1.25,0.936,0.704915299,1.021723868,0.68754098
769.4,1.25,1.008,0.704915299,1.021723868,0.68754098
769.4,1.25,1.08,0.704915299,1.021723868,0.68754098
769.4,1.25,1.152,0.704915299,1.021723868,0.68754098
769.4,1.25,1.224,0.704915299,1.021723868,0.68754098
769.4,1.25,1.296,0.704915299,1.021723868,0.68754098
769.4,1.25,1.368,0.704915299,1.021723868,0.68754098
769.4,1.25,1.44,0.704915299,1.021723868,0.68754098
792.6,1,0.648,0.704915299,1.021723868,0.68754098
792.6,1,0.72,0.704915299,1.021723868,0.68754098
792.6,1,0.792,0.704915299,1.021723868,0.68754098
792.6,1,0.864,0.704915299,1.021723868,0.68754098
792.6,1,0.936,0.704915299,1.021723868,0.68754098
792.6,1,1.008,0.704915299,1.021723868,0.68754098
792.6,1,1.08,0.704915299,1.021723868,0.68754098
792.6,1,1.152,0.704915299,1.021723868,0.68754098
792.6,1,1.224,0.704915299,1.021723868,0.68754098
792.6,1,1.296,0.704915299,1.021723868,0.68754098
792.6,1,1.368,0.704915299,1.021723868,0.68754098
792.6,1,1.44,0.704915299,1.021723868,0.68754098
792.6,1.25,0.648,0.704915299,1.021723868,0.68754098
792.6,1.25,0.72,0.704915299,1.021723868,0.68754098
792.6,1.25,0.792,0.704915299,1.021723868,0.68754098
792.6,1.25,0.864,0.704915299,1.021723868,0.68754098
792.6,1.25,0.936,0.704915299,1.021723868,0.68754098
792.6,1.25,1.008,0.704915299,1.021723868,0.68754098
792.6,1.25,1.08,0.704915299,1.021723868,0.68754098
792.6,1.25,1.152,0.704915299,1.021723868,0.68754098
792.6,1.25,1.224,0.704915299,1.021723868,0.68754098
792.6,1.25,1.296,0.704915299,1.021723868,0.68754098
792.6,1.25,1.368,0.704915299,1.021723868,0.68754098
792.6,1.25,1.44,0.704915299,1.021723868,0.68754098
815.8,1,0.648,0.704915299,1.021723868,0.68754098
815.8,1,0.72,0.704915299,1.021723868,0.68754098
815.8,1,0.792,0.704915299,1.021723868,0.68754098
815.8,1,0.864,0.704915299,1.021723868,0.68754098
815.8,1,0.936,0.704915299,1.021723868,0.68754098
815.8,1,1.008,0.704915299,1.021723868,0.68754098
815.8,1,1.08,0.704915299,1.021723868,0.68754098
815.8,1,1.152,0.704915299,1.021723868,0.68754098
815.8,1,1.224,0.704915299,1.021723868,0.68754098
815.8,1,1.296,0.704915299,1.021723868,0.68754098
815.8,1,1.368,0.704915299,1.021723868,0.68754098
815.8,1,1.44,0.704915299,1.021723868,0.68754098
815.8,1.25,0.648,0.704915299,1.021723868,0.68754098
815.8,1.25,0.72,0.704915299,1.021723868,0.68754098
815.8,1.25,0.792,0.704915299,1.021723868,0.68754098
815.8,1.25,0.864,0.704915299,1.021723868,0.68754098
815.8,1.25,0.936,0.704915299,1.021723868,0.68754098
815.8,1.25,1.008,0.704915299,1.021723868,0.68754098
815.8,1.25,1.08,0.704915299,1.021723868,0.68754098
815.8,1.25,1.152,0.704915299,1.021723868,0.68754098
815.8,1.25,1.224,0.704915299,1.021723868,0.68754098
815.8,1.25,1.296,0.704915299,1.021723868,0.68754098
815.8,1.25,1.368,0.704915299,1.021723868,0.68754098
