,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
0,0,2.656313093,-1.208524699,-0.727674571,0.743870933,0.95185403,0.503342677,958,21,7.147431586,0,0.5,1,0.1
1,1,3.189419414,-1.134979649,-0.727674571,0.706675552,1.018598834,0.685369222,314,31,6.83361971,0,1,0.5,0.1
2,2,4.039057612,-1.282069749,-0.727674571,0.744141326,0.951201123,0.503262827,923,14,6.112197902,0,0.5,1,0.1
3,3,3.172759841,-0.767254399,-0.727674571,0.745122943,0.949501523,0.501808754,923,21,3.703323085,0,0.5,1,0.1
4,4,3.639227872,-0.767254399,-0.727674571,0.707793745,1.016588019,0.683803204,305,37,2.619753154,0,0.5,0.5,0.1
5,5,3.989078894,-0.546619248,-0.727674571,0.709436426,1.013717443,0.682973591,318,34,4.331088103,0,0.5,0.5,0.1
6,6,4.155674619,-0.546619248,-0.727674571,0.745251119,0.949157986,0.502992664,983,35,8.949186252,0,0.5,1,0.1
7,7,4.139015047,-0.767254399,-0.727674571,0.708356338,1.015515357,0.683551364,401,20,6.886511815,0,1,0.5,0.045276407
8,8,3.139440696,-1.134979649,-1.425246537,0.587352066,1.208182997,0.778737835,314,30,1,0,1,0.5,0.1
9,9,3.655887444,-1.134979649,-1.425246537,0.706494274,1.018882463,0.685777096,952,4,5.554761817,0,1,0.5,0.023816006
10,10,4.205653337,-0.987889549,-1.425246537,0.688943521,1.048861047,0.697363267,209,31,1,0,1,0.5,0.1
11,11,2.056568483,-1.429159849,-1.317927773,0.70317428,1.024732501,0.687844137,976,39,4.224660132,0.030079667,0.634307376,0.504968923,0.086714281
12,12,3.672547017,-1.355614799,-1.317927773,0.706898294,1.018200486,0.684834679,314,36,3.981090843,0,0.5,0.533793752,0.093687183
13,13,4.039057612,-1.429159849,-1.264268391,0.827014739,0.782145739,0.443284706,954,2,1,0,1,0.777946169,0.1
14,14,3.139440696,-1.134979649,-1.264268391,0.742580823,0.954244697,0.508287188,292,6,7.464557084,0,0.5,1,0.1
15,15,3.655887444,-1.134979649,-1.264268391,0.718493924,0.997824262,0.675010296,355,12,1,0,0.5,0.658915934,0.1
16,16,4.205653337,-0.987889549,-1.264268391,0.743305184,0.952796756,0.503769886,907,14,6.278691704,0,0.5,1,0.1
17,17,2.506376941,0.850736702,-1.317927773,0.699598996,1.030881029,0.691794294,301,22,1,0,0.5,0.5,0.1
18,18,2.339781215,-0.914344499,-1.264268391,0.706976786,1.018132918,0.685005297,320,29,3.237301317,0,0.5,0.5,0.084745458
