,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
0,25,1073,1,0.55,0.706738601,1.018404257,0.685002898,726,50,2.824211776,0.010813247,0.685648829,0.615626231,0.047437841
1,31,1073,2,1.44,0.706947551,1.018084679,0.685218881,876,43,3.69640168,0.019173167,0.748551153,0.630560561,0.081771902
2,32,1073,2,0.9,0.707046595,1.017912622,0.686014056,803,25,4.358591617,0.008372984,0.83827941,0.509694939,0.025706719
3,33,1073,2,0.72,0.707267099,1.017529463,0.685358381,939,41,7.782387751,0.005528341,0.988128787,0.616403205,0.052172378
4,87,723,1,0,0.704596523,1.022275495,0.687685657,970,48,7.103365602,0.011237293,0.772658079,0.510469651,0.047098688
5,88,723,1,0.072,0.703760575,1.023711612,0.688846359,960,30,3.02222082,0.017353519,0.794671497,0.51576559,0.02329766
6,89,723,1,0.144,0.70411766,1.023053633,0.688873637,221,41,4.472718369,0.020642798,0.878286713,0.519007519,0.099090645
7,90,723,1,0.216,0.704141075,1.023008795,0.688426791,917,31,7.623704026,0.017176429,0.757193833,0.637475041,0.086975528
8,91,723,1,0.288,0.740024778,0.958965555,0.545838287,916,2,3.430217459,0.028059592,0.618402452,0.856921584,0.082368336
9,92,723,1,0.36,0.70413431,1.023074976,0.686423642,966,41,4.192587846,0.02805338,0.529252845,0.578310072,0.054976403
10,93,723,1,0.432,0.690413876,1.046515883,0.705638367,630,50,1.343693109,0.391827082,0.831623573,0.664979349,0.048332946
11,94,723,1,0.504,0.70341989,1.024297449,0.689111507,445,47,2.736461755,0.005364326,0.991690107,0.616487491,0.066360017
12,95,723,1,0.576,0.695787437,1.037406021,0.698244586,223,35,7.317144414,0.19767664,0.853972593,0.618740507,0.09734881
13,108,723,1.25,0,0.705672567,1.020411913,0.687347197,407,6,6.166707229,0.02218446,0.584887279,0.57486999,0.086588954
14,109,723,1.25,0.072,0.705345572,1.02096931,0.68781439,635,15,6.390622283,0.052927981,0.661954447,0.500591968,0.050655324
