,Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
0,7523,1092,2.1,0.15,0.755999635,0.928890997,0.528533713,347,35,3.684564757,0.01457771,0.710303491,0.660093248,0.058779402
1,7544,1124,2.2,0.15,0.755346006,0.930179722,0.52709381,893,50,6.690636709,0.015915062,0.681697512,0.535367949,0.060951398
2,7733,1175,2,0.15,0.752795599,0.935048283,0.52988216,898,10,4.624750259,0.015980469,0.827469644,0.512453573,0.046118009
3,6809,1123,2.7,0.15,0.751461354,0.937629851,0.527757143,725,30,6.75999354,0.240396394,0.684319743,0.635330872,0.057055904
4,5990,1151,2.7,0.15,0.750721788,0.939040866,0.528797781,541,6,4.033465243,0.008902693,0.800872616,0.584609484,0.051154766
5,6662,1172,3,0.15,0.748028714,0.944074337,0.531718459,970,34,6.634447471,0.002414832,0.72937988,0.578947019,0.03574779
6,6704,1182,3,0.15,0.746922742,0.94614397,0.532289616,850,20,1.821238923,0.003637207,0.984564345,0.560157419,0.086203657
7,6557,1181,2.7,0.15,0.746037323,0.947668943,0.534911591,602,21,3.218231992,0.005877209,0.529686354,0.608233841,0.039388574
8,5753,1121,2.2,0.02,0.745177825,0.949429126,0.536732421,813,2,4.392064992,0.050370376,0.858278706,0.52586683,0.054507835
9,7145,1152,2.2,0.02,0.744965382,0.949763141,0.536158244,724,36,7.971002279,0.000265107,0.8042326,0.523118458,0.087330955
10,6321,1185,2.4,0.02,0.744371068,0.950954885,0.537173876,298,16,5.975218394,0.114903462,0.659339844,0.634054398,0.058338184
11,5149,1056,1.8,0.04,0.743685553,0.952235222,0.536766029,924,36,5.834228435,0.033175177,0.596944191,0.541844985,0.097633598
12,7647,1153,1.9,0.04,0.743367598,0.952742451,0.533459836,941,48,5.63739577,0.028051708,0.639605976,0.547874272,0.084374508
13,2671,1175,1.8,0.05,0.743345658,0.952841756,0.538583217,643,19,4.090154905,0.006327824,0.555445709,0.541141553,0.04502928
14,7224,1121,2.2,0.05,0.743061425,0.953369943,0.538576048,621,47,6.769790117,0.014069795,0.682010435,0.570829496,0.093262397
15,3594,1152,2.2,0.05,0.743016351,0.953397241,0.539590685,705,2,5.560792821,0.217645045,0.571764674,0.616884042,0.068801859
16,7751,1185,2.4,0.05,0.742867493,0.953591275,0.53752956,921,33,2.025887633,0.002316526,0.535887353,0.950648179,0.095057648
17,7103,1083,4.9,0.04,0.742900242,0.953600735,0.547669607,808,32,6.632879922,0.00309999,0.774056141,0.505458644,0.023559429
18,6529,1073,2.5,0.05,0.742762375,0.953751502,0.536327607,903,15,5.578337433,0.009801277,0.827696464,0.582396643,0.039418877
19,5983,1073,2.5,0.05,0.742763362,0.953847578,0.534020255,836,45,6.118629234,0.019878754,0.92630323,0.62317664,0.094309347
20,6221,1073,2,0.55,0.742702745,0.954001468,0.541028609,662,8,1.318944176,0.005489993,0.587271355,0.663989699,0.068732617
21,27,1033,2,0.55,0.7426074,0.954210754,0.538973876,787,4,1.789605377,0.007006273,0.672345803,0.652322736,0.080378628
22,6826,1053,2,0.55,0.742581996,0.954281359,0.53371608,410,38,7.035365471,0.076638581,0.831089024,0.554170237,0.085064877
23,4009,1073,2,0.55,0.742543823,0.954348425,0.540458949,824,44,1.640189448,0.001734064,0.847164218,0.613262256,0.051440684
24,7564,1093,2,0.55,0.742489401,0.95436373,0.538906005,781,39,4.796661298,0.043335667,0.57000683,0.5465431,0.094052475
25,3644,1073,2,0.55,0.742470187,0.954464633,0.538888367,716,33,7.883312968,0.007628211,0.999745973,0.528058683,0.058184107
26,1773,1073,3,0.55,0.742400758,0.954520232,0.538826358,551,2,3.158024647,0.015221936,0.858605967,0.68648764,0.048244377
27,6346,1073,4,0.55,0.742419258,0.954564468,0.537726485,918,9,5.504226308,0.01800795,0.65605033,0.555911642,0.071432255
28,1792,1073,5,0.55,0.74237585,0.954566379,0.539702271,810,2,1.235285315,0.048615969,0.81524871,0.727923677,0.079625317
29,6765,1073,2,0.36,0.7424107,0.954579222,0.536659935,914,30,6.466695118,0.022849296,0.659595479,0.654499337,0.09004832
30,865,1073,2,0.51,0.742378511,0.954588868,0.53821493,913,21,6.369130303,0.018025668,0.676796543,0.640080962,0.089276991
31,7206,1073,2,0.42,0.742389475,0.954596332,0.53629394,566,15,3.477997125,0.002933147,0.914054309,0.654064768,0.020747367
32,4108,1073,2,0.36,0.742349713,0.954676026,0.539150708,931,49,2.905963892,0.011601919,0.512455857,0.523823809,0.025361156
33,6214,1056,1.8,0.02,0.742274181,0.954742595,0.535477857,934,43,8.710610482,0.000700291,0.964545285,0.599309079,0.055951048
34,6822,1153,1.9,0.02,0.742249976,0.954751726,0.536315408,698,2,4.521315112,0.137026537,0.554022814,0.56642664,0.074393332
35,3896,1175,1.8,0.02,0.74224541,0.954846476,0.537990285,765,41,2.423957922,0.011284389,0.708650569,0.658088668,0.057923618
36,2957,1122,2.1,0.14,0.742216326,0.954920642,0.53784532,890,49,4.037404622,0.008771059,0.88644663,0.534085669,0.036644603
37,7605,1157,2.1,0.14,0.74216632,0.95496223,0.540198424,915,11,4.940226346,0.04418772,0.566288039,0.610737979,0.089505011
38,1893,1187,2.1,0.14,0.742213789,0.954970576,0.538554083,438,43,2.397710093,0.000906866,0.546904565,0.57841879,0.065900547
39,2656,1048,3,0.36,0.742167042,0.955028573,0.536637983,903,2,3.433823338,0.002284745,0.964050186,0.945620434,0.023050516
40,6997,1073,3,0.36,0.74208699,0.95505003,0.537902419,582,32,5.518370507,0.046841278,0.530786939,0.561897527,0.099570587
41,4133,1073,3,0.36,0.742127884,0.955075788,0.537192795,667,17,1.9216756,0.399590213,0.580545092,0.573484978,0.062976129
42,6008,1038,3,0.19,0.742102722,0.955108966,0.535059255,327,25,6.528374816,0.001315662,0.656476007,0.500185538,0.080525607
43,5565,1073,3,0.19,0.742125569,0.955115163,0.539277375,956,2,3.931366545,0.06462449,0.782227975,0.958956292,0.090482994
44,2635,1093,3,0.19,0.742126909,0.955128667,0.537609737,659,45,2.295822644,0.008635788,0.676303977,0.588179714,0.027274014
45,7539,1113,3,0.19,0.742070705,0.955168727,0.537272922,641,37,3.693107978,0.005357558,0.991287784,0.56399589,0.066441317
46,7349,1128,3,0.19,0.742026243,0.955279927,0.537011445,390,8,7.267470244,0.272373239,0.822814707,0.644060731,0.097276434
47,7034,1038,3,0.09,0.742006508,0.955295013,0.535761362,635,42,5.124355235,0.010791503,0.566321009,0.537183204,0.049376313
48,2952,1073,3,0.09,0.741997771,0.955325358,0.540649865,761,2,5.613021518,0.040053047,0.595388192,0.863135447,0.084372875
49,4416,1098,3,0.09,0.741969097,0.955375839,0.537516925,750,30,7.320512682,0.002643474,0.764514728,0.51305504,0.042132421
50,7453,1113,3,0.09,0.741856279,0.95537921,0.539458427,312,45,3.116392257,0.005107084,0.791006316,0.611599189,0.095757855
51,5921,1133,3,0.09,0.741941982,0.955443919,0.537621508,189,7,5.644648925,0.002714205,0.629781293,0.549983864,0.093209103
52,4680,1148,3,0.09,0.741937567,0.955482171,0.540226658,558,23,2.204627658,0.063529122,0.669786562,0.602505975,0.067394263
53,7055,1113,3,0.04,0.741875055,0.955542117,0.53746387,167,4,3.11847574,0.018291984,0.895845739,0.594531058,0.08065752
54,2823,1113,4,0.04,0.74185416,0.955548043,0.536828019,834,7,5.719427892,0.014839795,0.630967999,0.561125972,0.063570498
55,7244,1113,5,0.04,0.741815165,0.955659607,0.53634668,502,39,6.054861528,0.055620698,0.716068706,0.995036772,0.029356545
56,3618,1113,6,0.04,0.74178975,0.955669848,0.537199648,846,34,7.597689788,0.006922897,0.762299667,0.503327344,0.094430692
57,2737,1053,3,0.04,0.741771011,0.955714725,0.539267666,337,48,2.982307949,0.008819992,0.560909626,0.620367763,0.090378202
58,6026,1073,3,0.04,0.741750238,0.95580731,0.539355199,944,15,3.230105695,0.010589925,0.531419278,0.974359969,0.09405154
59,6382,1093,3,0.04,0.741665353,0.95587425,0.5437215,604,7,3.877758908,0.018456037,0.609834475,0.509617252,0.084369446
60,2970,1133,3,0.04,0.741686321,0.955901801,0.53842584,928,27,2.149208585,0.020367239,0.528814198,0.508687856,0.072232884
61,6762,1153,3,0.04,0.741691589,0.955925054,0.543547094,556,2,6.912609136,0.018238419,0.538608821,0.687353359,0.069244624
62,16,1173,3,0.04,0.741599092,0.955957837,0.534870078,475,42,3.090255584,0.014686094,0.934080113,0.521131111,0.043098454
63,7095,1048,4,0.05,0.741553427,0.955992251,0.536514565,999,17,7.094134944,0.001187168,0.690878303,0.532106887,0.044388609
64,6596,1048,4,0.04,0.741584929,0.95599791,0.535793419,849,14,5.116948153,0.015447249,0.980449721,0.643478173,0.09769823
65,2611,1048,4,0.04,0.74165744,0.956000613,0.538332923,432,50,4.114925515,0.013009812,0.883035849,0.508903664,0.036959935
66,3069,1048,4,0.04,0.741598767,0.956020604,0.538771801,480,8,5.688268238,0.02270366,0.762994223,0.636446525,0.093596708
67,4391,1073,3,0,0.741608708,0.956053242,0.54011294,325,32,6.169253589,0.008843274,0.743512193,0.600395212,0.086330808
68,3290,1073,3,0,0.741521504,0.956176331,0.538415622,812,9,5.809944961,0.212784173,0.501138008,0.513692956,0.083845454
69,6804,1048,3,0,0.741538803,0.956207722,0.535193087,697,27,8.424393781,0.040246351,0.943607559,0.79086744,0.07728626
70,3684,1048,3,0,0.741528241,0.956237804,0.535328853,615,46,6.154522737,0.054773301,0.692313312,0.546246686,0.064401901
71,1481,723,4,0.01,0.741506658,0.956279558,0.5395252,651,19,7.301805265,0.004272623,0.765101382,0.574040043,0.054295846
72,1061,748,4,0.01,0.741482462,0.956321397,0.541666637,408,38,2.051056165,0.013245859,0.542015734,0.557751665,0.094464932
73,410,773,4,0.01,0.741441229,0.956325653,0.539899635,291,21,3.845244252,0.009086955,0.617106545,0.525595164,0.063304826
74,5125,798,4,0.01,0.741465397,0.956333161,0.540512439,998,13,4.797613964,0.03030482,0.626319444,0.649973165,0.057555453
75,1142,823,4,0.01,0.741410173,0.956429442,0.535251887,747,30,7.576840951,0.006422481,0.999717157,0.626174618,0.034500028
76,4318,1048,4,0.01,0.741376858,0.956501679,0.5368064,704,6,7.581223257,0.001399844,0.749438896,0.607156397,0.090444998
77,4054,1073,4,0.01,0.741352067,0.956544208,0.539331449,714,37,6.608246392,0.024489067,0.59380784,0.592664456,0.083990278
78,7270,1073,2,0.36,0.741336837,0.956555948,0.535014789,314,37,3.066408667,0.03080299,0.558965089,0.66147908,0.08513227
79,3367,823,4,0.07,0.74128727,0.956596662,0.537469867,951,6,2.188784986,0.014470548,0.966697582,0.66367163,0.024354283
80,6177,1073,4,0.07,0.741304387,0.956604013,0.538382535,920,20,7.488674406,0.020375642,0.862839694,0.61719048,0.085677674
81,4034,1073,3,0.36,0.741316343,0.956610264,0.53497354,782,11,5.38838181,0.002325782,0.766504306,0.55697633,0.021878445
82,1371,1123,3,0.36,0.741262588,0.956626623,0.538163644,883,46,1.300494743,0.000665244,0.52527404,0.806788217,0.049232851
83,1561,723,1.5,0,0.741251017,0.956648013,0.535546528,280,36,4.904373176,0.013887943,0.612215471,0.636030341,0.091664781
84,4619,723,1.5,0.072,0.741268592,0.956719231,0.535866881,699,40,7.676009315,0.000339376,0.679849285,0.722165058,0.098251162
85,1562,723,1.5,0.144,0.74125775,0.956722263,0.538029352,857,47,2.022445909,0.027117849,0.685903236,0.571051796,0.074464006
86,3283,723,1.5,0.216,0.74122397,0.956726498,0.536935678,810,12,6.484677036,0.021882593,0.78087378,0.568639016,0.093468932
87,2000,723,1.5,0.288,0.741202407,0.95673787,0.537172565,411,22,5.09038851,0.055192706,0.794007943,0.566859873,0.059353925
88,6528,723,1.5,0.36,0.74113406,0.956748385,0.540126174,821,42,2.382624468,0.019815487,0.754090301,0.871445312,0.016332506
89,2550,723,1.5,0.432,0.741199173,0.956759518,0.536451263,642,41,3.812952043,0.003894848,0.581685338,0.511534937,0.030519841
90,3266,723,1.5,0.504,0.741188967,0.956791201,0.538078949,466,3,1.384213383,0.219291089,0.961623076,0.542794543,0.033072454
91,6154,723,1.5,0.576,0.741198196,0.956821076,0.536223695,835,33,3.828344388,0.021946066,0.550824016,0.633793247,0.063272886
92,1729,723,1.75,0,0.741152857,0.956829455,0.536891514,660,7,6.892767762,0.009549516,0.744357198,0.599093661,0.042148547
