,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables,K-NN,SVR,GPR,DTR,RFR,XGB,LGBM,ETR,CB,MLP,probability_40,probability_80,probability_95,entropy,max_prob,margin
984,769.4,1.0,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813268,0.0,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.133222259812749,0.9165441728602292,6.345121429655518,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
985,769.4,1.0,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813268,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.325167980173345,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1001,769.4,1.25,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293322813268,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.337736055055648,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1022,769.4,1.5,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293322813268,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.250536882527162,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1468,792.6,1.5,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813255,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.361818545557857,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1484,792.6,1.75,0.144,3.243188454,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293322813254,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.374386620440068,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1488,792.6,1.75,0.432,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813254,0.0,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.133222259812749,0.9165441728602292,6.294572822511488,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1489,792.6,1.75,0.504,6.617509592,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322813254,0.0,0.3788663799999999,0.3875382223690507,0.43162218,0.3933088709422395,1.102320859332722,0.9165441728602292,6.274619373029364,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1505,792.6,2.0,0.144,1.408573088,2,"['Temperature', 'pCH4_per_pO2']",0.8833674794999999,6.318293322813254,0.0,0.0,0.0294417573386213,0.027918307,0.0649241502841168,1.1191541148869828,0.2361089010597172,6.287187447911589,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
1971,815.8,2.25,0.432,2.044605542,2,"['Temperature', 'pCH4_per_pO2']",1.3269920245,6.318293322680136,0.0,0.3788663799999999,0.3865626401025328,0.32355374,0.3925749761599911,1.133222259812749,0.9165441728602292,6.331223387895965,0.3,0.8,0.8,1.0361746300696415,0.8,0.19999999999999996
