iter	RMSE
0	3.154420298
1	2.285716131
2	1.531363666
3	1.059947502
4	0.8417312746
5	0.7361826732
6	0.6912075408
7	0.5365055123
8	0.4738002261
9	0.452935408
10	0.4203993902
11	0.3938851542
12	0.3405943216
13	0.3251827214
14	0.3048729045
15	0.3018132555
16	0.285129241
17	0.2702350628
18	0.2655101827
19	0.2570006109
20	0.2439899638
21	0.240302516
22	0.2353658695
23	0.2290988113
24	0.225792711
25	0.2196735193
26	0.2158668098
27	0.2106120599
28	0.2038719469
29	0.1969182834
30	0.1935899022
31	0.1890379911
32	0.1842439102
33	0.1813810821
34	0.178170688
35	0.1750924444
36	0.1685122741
37	0.1636605432
38	0.1616988562
39	0.15220607
40	0.1501687555
41	0.1455642978
42	0.1446404447
43	0.1433674983
44	0.1412253988
45	0.1401866098
46	0.1393855198
47	0.1364975552
48	0.13393907
49	0.1326410006
50	0.1309256314
51	0.1258503594
52	0.1219831932
53	0.1212000948
54	0.1179731064
55	0.1169688842
56	0.1147419631
57	0.1140715174
58	0.1115942053
59	0.1089604751
60	0.1083859694
61	0.105244403
62	0.1032453801
63	0.1012220392
64	0.1008432262
65	0.1003223589
66	0.09837157137
67	0.09796899402
68	0.09622470997
69	0.09478059967
70	0.09389729847
71	0.09328097418
72	0.09251159622
73	0.09214328881
74	0.08841738115
75	0.08728825299
76	0.08555446761
77	0.0842358195
78	0.08329003686
