iter	Passed	Remaining
0	0	30
1	0	24
2	0	22
3	1	20
4	1	19
5	1	18
6	1	18
7	1	18
8	2	18
9	2	18
10	2	18
11	2	17
12	3	17
13	3	16
14	3	16
15	3	16
16	4	16
17	4	16
18	4	16
19	4	15
20	5	15
21	5	15
22	5	15
23	6	15
24	6	15
25	6	14
26	6	14
27	7	14
28	7	13
29	7	13
30	7	13
31	8	13
32	8	12
33	8	12
34	8	12
35	8	11
36	9	11
37	9	11
38	9	11
39	9	10
40	10	10
41	10	10
42	10	9
43	10	9
44	10	9
45	11	9
46	11	8
47	11	8
48	11	8
49	11	8
50	11	7
51	12	7
52	12	7
53	12	6
54	12	6
55	12	6
56	13	6
57	13	6
58	13	5
59	13	5
60	14	5
61	14	5
62	14	4
63	14	4
64	14	4
65	14	4
66	15	3
67	15	3
68	15	3
69	15	3
70	15	2
71	15	2
72	16	2
73	16	2
74	16	1
75	16	1
76	16	1
77	16	1
78	17	1
79	17	0
80	17	0
81	17	0
82	17	0
83	17	0
