,Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
0,0,2.1169762511002697,-4.190125949932774,-0.8632226920279633,0.5688304688365681,0.9260742235577168,0.7157989304719852,[2.73948469],[12.58677868],314,27,7.301586370243523,0.0,1.0,0.581540209223719,0.1
1,1,3.213210530230685,-4.493192593982707,-0.8632226920279633,0.5929691436912788,0.8996652708597143,0.684342542627577,[2.10208692],[12.68000941],754,17,5.982966346701084,0.1112444451817873,0.5769898804689741,0.9893164040460932,0.0575670713494378
2,2,2.095481461313399,-3.432459339807944,-0.8632226920279633,0.5464572459414817,0.9497998853478314,0.7338788728542295,[0.24721994],[12.5939713],972,14,4.090169333471817,0.0,0.5,1.0,0.1
3,3,2.6973355753457837,-3.432459339807944,-0.8632226920279633,0.5461274878257546,0.9500813504157987,0.7340585695821088,[2.6664773],[12.60486845],972,14,4.090169333471817,0.0,0.5,1.0,0.1
4,4,3.1487261608700723,-2.9778593737330463,-0.8632226920279633,0.6396563414915051,0.8465421135944992,0.6392300554978854,[0.06413832],[12.69383339],955,18,3.4536334217757854,0.0,1.0,0.5,0.1
5,5,3.363674058738781,-2.9778593737330463,-0.8632226920279633,0.582523289524107,0.91115645954188,0.7045776901278806,[2.47006597],[12.55284981],886,33,5.985299115008719,0.0125225212161228,0.7838459173281647,0.6455318322558319,0.0566436216404255
6,6,3.34217926895191,-3.432459339807944,-0.8632226920279633,0.5333314208601823,0.9632969854427414,0.7414794204251326,[4.22523127],[12.60435109],936,21,6.6465516252533305,0.0,1.0,1.0,0.1
7,7,2.052491881739657,-4.190125949932774,-1.729647954957865,0.5689135728219841,0.9260144574105551,0.7174409959383102,[2.64821806],[12.73072199],893,17,2.662344649655312,0.0,0.5,0.5,0.1
8,8,2.7188303651326544,-4.190125949932774,-1.729647954957865,0.5797723199201481,0.9142209360984825,0.7088422236409909,[2.93088713],[12.67794184],980,19,6.232276312763583,0.0,1.0,0.5,0.1
9,9,3.4281584280993935,-3.887059305882843,-1.729647954957865,0.5604530662126503,0.9349635079690258,0.7235786268800928,[2.65072813],[12.5988708],317,26,7.940667311610009,0.0,1.0,0.9022583596268672,0.1
10,10,-0.46239852332423614,-4.6447259160076735,-1.596351760660957,0.5685006355963714,0.9264648427489972,0.7177118268304373,[2.7228116],[9.44001619],893,17,2.662344649655312,0.0,0.5,0.5,0.1
11,11,0.6553305455930497,-4.796259238032639,-1.596351760660957,0.5463720185490617,0.9499610363714965,0.7340527399269957,[1.91567697],[12.60980467],933,24,4.866224109826407,0.0,0.5,1.0,0.1
12,12,2.7403251549195256,-4.6447259160076735,-1.596351760660957,0.5771537672665508,0.9170820065920887,0.7104355003392843,[3.15773763],[12.66657357],899,5,3.469540443440448,0.0,0.5,0.557161102612224,0.1
13,13,3.213210530230685,-4.796259238032639,-1.5297036635125032,0.5508871383945471,0.9450511341576241,0.7302744839839446,[2.74386873],[12.5717216],317,26,7.634427270581996,0.0,1.0,0.9011713131801692,0.1
14,14,2.052491881739657,-4.190125949932774,-1.5297036635125032,0.569439611692965,0.9254415807325282,0.716822520633099,[2.6834363],[12.75490384],948,7,3.589296754993337,0.0,0.8535728499214239,0.6399718666805901,0.0886552799884211
15,15,2.7188303651326544,-4.190125949932774,-1.5297036635125032,0.5741922635937378,0.9202592113978164,0.713333915292779,[2.78095999],[12.69122271],899,5,3.469540443440448,0.0,0.5,0.557161102612224,0.1
16,16,3.4281584280993935,-3.887059305882843,-1.5297036635125032,0.5486640984936976,0.9474049848786883,0.7321270219327901,[1.98068323],[12.60286717],954,12,4.100047998713926,0.0,0.5,1.0,0.1
