Data Order,Temperature,pCH4_per_pO2,Contact time,R2,RMSE,MAE,Hard extrapolative error,Easy extrapolative error,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
0,2.1169762511002697,-4.190125949932774,-0.8632226920279633,0.6201238160285958,0.8692461938200239,0.6570402570654174,[1.27637281],[12.71709256],958,26,2.721662458376976,0.0,1.0,0.5,0.1
1,3.213210530230685,-4.493192593982707,-0.8632226920279633,0.6149121222863615,0.8750789016456959,0.661314747809183,[1.20062075],[12.64758639],923,28,3.0217341313997457,0.0066096820369532,0.6764605729952002,0.7062793804451739,0.0612569261313521
2,2.095481461313399,-3.432459339807944,-0.8632226920279633,0.5635329449086955,0.9317485606715091,0.7142242629489048,[0.28263865],[12.61206536],952,10,2.484956378913292,0.0,1.0,1.0,0.1
3,2.6973355753457837,-3.432459339807944,-0.8632226920279633,0.5774462635183111,0.9167160300995995,0.7094794967532825,[2.21732702],[12.62269358],341,41,4.630524866492232,0.0,0.9910450153299122,0.6475566866203409,0.1
4,3.1487261608700723,-2.9778593737330463,-0.8632226920279633,0.5479406990996905,0.9481735385213619,0.7325780610021926,[3.09793863],[12.60734992],946,8,4.159397698760754,0.0,0.5,1.0,0.1
5,3.363674058738781,-2.9778593737330463,-0.8632226920279633,0.641893573023586,0.8438842661364531,0.6383437459116696,[0.45827875],[12.68630843],989,17,3.204003132241578,0.0,1.0,0.5,0.1
6,3.34217926895191,-3.432459339807944,-0.8632226920279633,0.5482457344264344,0.9477789345800022,0.7319503795211806,[6.58221445],[12.61841588],945,20,4.179986422401393,0.0,0.5,1.0,0.1
7,2.052491881739657,-4.190125949932774,-1.729647954957865,0.5451961030604071,0.9511470847969891,0.7368379318025312,[1.70844164],[12.60972361],957,12,2.2829422282440364,0.0,0.5,1.0,0.1
8,2.7188303651326544,-4.190125949932774,-1.729647954957865,0.5497566407380188,0.94630795906584,0.7334709373992399,[1.83995333],[12.60721163],454,50,3.138572977072348,0.0,0.5,1.0,0.1
9,3.4281584280993935,-3.887059305882843,-1.729647954957865,0.6229207907543866,0.8659809270426351,0.662655511759424,[1.94255247],[12.07367484],970,4,1.0,0.0,1.0,1.0,0.1
10,-0.46239852332423614,-4.6447259160076735,-1.596351760660957,0.5588385911056604,0.936780023117584,0.7248518696141141,[3.04964819],[11.74142663],919,29,6.16928215687576,0.0,1.0,0.5,0.1
11,0.6553305455930497,-4.796259238032639,-1.596351760660957,0.5467291315997396,0.9495870401783526,0.7348797818150399,[1.78513422],[12.6568499],952,10,3.081319685729521,0.0,0.921394610599936,0.8728310016887568,0.0922377796465071
12,2.7403251549195256,-4.6447259160076735,-1.596351760660957,0.5891697976820331,0.9039577269159079,0.6976637737772041,[2.94916525],[12.68027262],990,19,3.5211531963675022,0.0,0.6214703840771694,0.5,0.1
13,3.213210530230685,-4.796259238032639,-1.5297036635125032,0.5553834292683548,0.9403085471606628,0.7290262060842075,[1.91391744],[12.60612301],943,13,4.3739384720663415,0.0,0.7260095981599473,0.8499799436368024,0.0795053951345869
14,2.052491881739657,-4.190125949932774,-1.5297036635125032,0.5461943124522903,0.9500947975091979,0.7339956305751352,[1.91519918],[12.60487418],958,8,4.854658692841926,0.0,0.5,1.0,0.1
15,2.7188303651326544,-4.190125949932774,-1.5297036635125032,0.5493485131767843,0.946724908178213,0.7312998456457493,[1.56456461],[12.60964255],326,12,4.340459034677174,0.0,1.0,1.0,0.1
16,3.4281584280993935,-3.887059305882843,-1.5297036635125032,0.5512858271323173,0.9446493251471789,0.7298419776389551,[1.94229116],[12.61260752],326,12,4.340459034677174,0.0,1.0,1.0,0.1
17,1.0207419719698547,-3.7355259838578765,-1.5297036635125032,0.5492779633671268,0.9468934147430725,0.7310138373667758,[1.38829794],[12.60038762],326,12,4.340459034677174,0.0,1.0,1.0,0.1
18,1.0207419719698547,-3.7355259838578765,-1.5297036635125032,0.5357500355498923,0.9609983450742093,0.7423435278532985,[1.6243905],[12.67561106],303,12,6.472647851515898,0.0,1.0,0.7479157911690564,0.1
19,-0.26894541524239823,-4.493192593982707,1.8027011939101962,0.546593561903316,0.9497038922922508,0.7324612533826618,[2.70283689],[0.96474974],370,38,7.808567677143912,0.0,1.0,1.0,0.1
20,0.16095038049501945,-4.493192593982707,1.8027011939101962,0.5864783959791241,0.9069223875482424,0.6979568726578741,[2.6165904],[12.49406342],966,30,4.008040655086208,0.0,1.0,0.5,0.1
21,0.5908461762324371,-4.493192593982707,1.8027011939101962,0.5690410819555058,0.9258529027843627,0.7161681736599458,[2.32519808],[12.65654044],947,23,4.409875486450917,0.0,1.0,0.5,0.1
22,1.0207419719698547,-4.493192593982707,1.8027011939101962,0.587410958898269,0.9058645363884198,0.6963954696646433,[2.67886724],[12.45423464],979,26,4.589712423922195,0.0536240202181959,0.5876249253303899,0.6114971323267131,0.0695066020817103
23,1.4506377677072724,-4.493192593982707,1.8027011939101962,0.5759384702573328,0.9183414657506138,0.710181666312334,[2.04662218],[12.60642294],895,23,5.786445933544646,0.0,1.0,0.5,0.1
24,1.0207419719698547,-6.008525814232367,1.8027011939101962,0.577164107782379,0.9170069639377608,0.7081578794792696,[1.70780268],[12.56404881],895,23,5.786445933544646,0.0,1.0,0.5,0.1
25,1.0207419719698547,-4.493192593982707,1.8027011939101962,0.5685519063794866,0.9263363168796881,0.715492045373028,[0.98796072],[12.36620764],297,16,4.659992984805268,0.0,1.0,0.6699406260565406,0.1
