Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,mean,std
1092,2.1,0.15,16.14692869,0.7209213,0.46802905
1124,2.2,0.15,17.85287774,0.7676873,0.50937665
1175,2,0.15,23.28852735,0.7676873,0.50937665
1123,2.7,0.15,17.69087008,0.7676873,0.50937665
1151,2.7,0.15,20.9501151,0.7676873,0.50937665
1172,3,0.15,21.30489275,0.7676873,0.50937665
1182,3,0.15,22.49507822,0.7676873,0.50937665
1181,2.7,0.15,24.17982708,0.7676873,0.50937665
1121,2.2,0.02,15.8181404,0.888176,0.62544817
1152,2.2,0.02,19.40252404,0.888176,0.62544817
1185,2.4,0.02,21.12464263,0.888176,0.62544817
1004,1.9,0.04,2.683630681,-0.4249509,0.2805857
1056,1.8,0.04,8.897596318,0.3570025,0.25742394
1153,1.9,0.04,18.46075315,0.888176,0.62544817
1175,1.8,0.05,22.43250824,0.90475315,0.6412111
1121,2.2,0.05,16.40473908,0.90475315,0.6412111
1152,2.2,0.05,19.98912271,0.90475315,0.6412111
1185,2.4,0.05,21.71124131,0.90475315,0.6412111
1073,2.5,0.05,13.57365084,0.85296583,0.59111977
1073,2.5,0.05,13.57365084,0.85296583,0.59111977
1073,2,0.55,19.8820515,0.74908495,0.49335974
1013,2,0.55,14.1245331,-0.51748973,0.35565343
1033,2,0.55,17.9492458,0.15969756,0.105369784
1053,2,0.55,17.54902468,0.16082512,0.10650201
1073,2,0.55,19.8820515,0.74908495,0.49335974
1093,2,0.55,21.33955063,0.74908495,0.49335974
1073,1,0.55,21.62132605,0.74908495,0.49335974
1073,2,0.55,19.8820515,0.74908495,0.49335974
1073,3,0.55,15.20147869,0.74908495,0.49335974
1073,2,0.36,19.64492159,0.8389495,0.58073074
1073,2,1.44,19.8820515,0.74908495,0.49335974
1073,2,0.9,19.8820515,0.74908495,0.49335974
1073,2,0.72,19.8820515,0.74908495,0.49335974
1073,2,0.51,16.93330668,0.74908495,0.49335974
1073,2,0.42,16.50018111,0.749344,0.49362606
1073,2,0.36,19.64492159,0.8389495,0.58073074
1056,1.8,0.02,12.0015191,0.3570025,0.25742394
1153,1.9,0.02,21.56467298,0.888176,0.62544817
1175,1.8,0.02,21.58093529,0.888176,0.62544817
1122,2.1,0.14,9.575186461,0.9221702,0.6630881
1157,2.1,0.14,12.67733961,0.9221702,0.6630881
1187,2.1,0.14,15.0943,0.9221702,0.6630881
1048,3,0.36,16.68442834,0.3834528,0.29767653
