,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables
0,1092.0,2.1,0.15,16.14692869,1,['Temperature']
1,1124.0,2.2,0.15,17.85287774,1,['Temperature']
2,1175.0,2.0,0.15,23.28852735,1,['Temperature']
3,1123.0,2.7,0.15,17.69087008,1,['Temperature']
4,1151.0,2.7,0.15,20.9501151,1,['Temperature']
5,1172.0,3.0000000000000004,0.15,21.30489275,1,['Temperature']
6,1182.0,3.0000000000000004,0.15,22.49507822,1,['Temperature']
7,1181.0,2.7,0.15,24.17982708,1,['Temperature']
8,1121.0,2.2,0.02,15.8181404,1,['Temperature']
9,1152.0,2.2,0.02,19.40252404,1,['Temperature']
10,1185.0,2.4,0.02,21.12464263,1,['Temperature']
11,1056.0,1.8,0.04,8.897596318,1,['Temperature']
12,1153.0,1.9,0.04,18.46075315,1,['Temperature']
13,1175.0,1.8,0.05,22.43250824,1,['Temperature']
14,1121.0,2.2,0.05,16.40473908,1,['Temperature']
15,1152.0,2.2,0.05,19.98912271,1,['Temperature']
16,1185.0,2.4,0.05,21.71124131,1,['Temperature']
17,1083.0,4.9,0.04,12.04728278,1,['Temperature']
18,1073.0,2.5,0.05,13.57365084,1,['Temperature']
19,1073.0,2.5,0.05,13.57365084,1,['Temperature']
20,1073.0,2.0,0.55,19.8820515,1,['Temperature']
21,1033.0,2.0,0.55,17.9492458,1,['Temperature']
22,1053.0,2.0,0.55,17.54902468,1,['Temperature']
23,1073.0,2.0,0.55,19.8820515,1,['Temperature']
24,1093.0,2.0,0.55,21.33955063,1,['Temperature']
26,1073.0,2.0,0.55,19.8820515,1,['Temperature']
27,1073.0,3.0000000000000004,0.55,15.201478689999998,1,['Temperature']
28,1073.0,4.0,0.55,14.66137908,1,['Temperature']
29,1073.0,5.0,0.55,13.83194706,1,['Temperature']
30,1073.0,2.0,0.36,19.64492159,1,['Temperature']
34,1073.0,2.0,0.51,16.93330668,1,['Temperature']
35,1073.0,2.0,0.42,16.50018111,1,['Temperature']
36,1073.0,2.0,0.36,19.64492159,1,['Temperature']
37,1056.0,1.8,0.02,12.0015191,1,['Temperature']
38,1153.0,1.9,0.02,21.56467298,1,['Temperature']
39,1175.0,1.8,0.02,21.58093529,1,['Temperature']
40,1122.0,2.1,0.14,9.575186461,1,['Temperature']
41,1157.0,2.1,0.14,12.67733961,1,['Temperature']
42,1187.0,2.1,0.14,15.0943,1,['Temperature']
43,1048.0,3.0000000000000004,0.36,16.68442834,1,['Temperature']
44,1073.0,3.0000000000000004,0.36,16.69462651,1,['Temperature']
45,1073.0,3.0000000000000004,0.36,16.69462651,1,['Temperature']
46,1038.0,3.0000000000000004,0.19,7.223017651,1,['Temperature']
47,1073.0,3.0000000000000004,0.19,10.44274641,1,['Temperature']
48,1093.0,3.0000000000000004,0.19,12.80682413,1,['Temperature']
49,1113.0,3.0000000000000004,0.19,13.1837118,1,['Temperature']
50,1128.0,3.0000000000000004,0.19,11.58767097,1,['Temperature']
51,1038.0,3.0000000000000004,0.09,9.595384786,1,['Temperature']
52,1073.0,3.0000000000000004,0.09,13.61863644,1,['Temperature']
53,1098.0,3.0000000000000004,0.09,17.60278481,1,['Temperature']
54,1113.0,3.0000000000000004,0.09,17.49054458,1,['Temperature']
55,1133.0,3.0000000000000004,0.09,17.56288725,1,['Temperature']
56,1148.0,3.0000000000000004,0.09,18.71972513,1,['Temperature']
57,1113.0,3.0000000000000004,0.04,12.47728205,1,['Temperature']
58,1113.0,4.0,0.04,13.37025572,1,['Temperature']
59,1113.0,5.0,0.04,12.56055901,1,['Temperature']
60,1113.0,6.000000000000001,0.04,12.56055901,1,['Temperature']
61,1053.0,3.0000000000000004,0.04,4.542570677,1,['Temperature']
62,1073.0,3.0000000000000004,0.04,8.057064387,1,['Temperature']
63,1093.0,3.0000000000000004,0.04,12.1003826,1,['Temperature']
64,1133.0,3.0000000000000004,0.04,12.54962031,1,['Temperature']
65,1153.0,3.0000000000000004,0.04,14.3759319,1,['Temperature']
66,1173.0,3.0000000000000004,0.04,14.0011245,1,['Temperature']
67,1048.0,4.0,0.05,11.71299863,1,['Temperature']
68,1048.0,4.0,0.04,7.424315569000001,1,['Temperature']
69,1048.0,4.0,0.04,7.424315569000001,1,['Temperature']
70,1048.0,4.0,0.04,7.424315569000001,1,['Temperature']
71,1073.0,3.0000000000000004,0.0,18.30700768,1,['Temperature']
72,1073.0,3.0000000000000004,0.0,18.30700768,1,['Temperature']
73,1048.0,3.0000000000000004,0.0,18.40977113,1,['Temperature']
74,1048.0,3.0000000000000004,0.0,18.40977113,1,['Temperature']
75,723.0,4.0,0.01,0.0,1,['Temperature']
76,748.0,4.0,0.01,0.0,1,['Temperature']
77,773.0,4.0,0.01,0.0,1,['Temperature']
78,798.0,4.0,0.01,0.0,1,['Temperature']
79,823.0,4.0,0.01,0.0,1,['Temperature']
80,1048.0,4.0,0.01,11.63165398,1,['Temperature']
81,1073.0,4.0,0.01,12.80142692,1,['Temperature']
82,1073.0,2.0,0.36,19.64492159,1,['Temperature']
83,823.0,4.0,0.07,2.012875387,1,['Temperature']
84,1073.0,4.0,0.07,16.9356225,1,['Temperature']
85,1073.0,3.0000000000000004,0.36,16.69462651,1,['Temperature']
86,1123.0,3.0000000000000004,0.36,17.28257817,1,['Temperature']
129,723.0,1.5000000000000002,0.0,9.551309758,1,['Temperature']
130,723.0,1.5000000000000002,0.072,6.994392112,1,['Temperature']
131,723.0,1.5000000000000002,0.144,3.243188454,1,['Temperature']
132,723.0,1.5000000000000002,0.216,2.962152095,1,['Temperature']
133,723.0,1.5000000000000002,0.288,2.962152095,1,['Temperature']
134,723.0,1.5000000000000002,0.36,9.589847711,1,['Temperature']
135,723.0,1.5000000000000002,0.432,6.617509592,1,['Temperature']
136,723.0,1.5000000000000002,0.504,6.617509592,1,['Temperature']
137,723.0,1.5000000000000002,0.576,9.933110279,1,['Temperature']
150,723.0,1.75,0.0,9.551309758,1,['Temperature']
151,723.0,1.75,0.072,6.994392112,1,['Temperature']
152,723.0,1.75,0.144,3.243188454,1,['Temperature']
153,723.0,1.75,0.216,2.962152095,1,['Temperature']
154,723.0,1.75,0.288,2.962152095,1,['Temperature']
155,723.0,1.75,0.36,9.589847711,1,['Temperature']
156,723.0,1.75,0.432,6.617509592,1,['Temperature']
157,723.0,1.75,0.504,6.617509592,1,['Temperature']
158,723.0,1.75,0.576,9.933110279,1,['Temperature']
171,723.0,2.0,0.0,7.930769467,1,['Temperature']
172,723.0,2.0,0.072,5.287248717,1,['Temperature']
173,723.0,2.0,0.144,1.408573088,1,['Temperature']
174,723.0,2.0,0.216,1.193470945,1,['Temperature']
175,723.0,2.0,0.288,1.193470945,1,['Temperature']
176,723.0,2.0,0.36,7.821168953,1,['Temperature']
177,723.0,2.0,0.432,4.825053139,1,['Temperature']
178,723.0,2.0,0.504,4.825053139,1,['Temperature']
179,723.0,2.0,0.576,8.206915799,1,['Temperature']
192,723.0,2.25,0.0,7.046489346,1,['Temperature']
193,723.0,2.25,0.072,3.494753987,1,['Temperature']
194,723.0,2.25,0.144,0.0,1,['Temperature']
195,723.0,2.25,0.216,0.0,1,['Temperature']
196,723.0,2.25,0.288,0.0,1,['Temperature']
197,723.0,2.25,0.36,5.958626398,1,['Temperature']
198,723.0,2.25,0.432,2.044605542,1,['Temperature']
199,723.0,2.25,0.504,2.044605542,1,['Temperature']
