,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Extrapolation Strength,Extrapolating Variables,R2,MAE
0,1092,2.1,0.15,16.14692869,1,['pCH4_per_pO2'],0.59783464,0.680190868
11,1004,1.9,0.04,2.683630681,1,['pCH4_per_pO2'],0.562629814,0.721923892
12,1056,1.8,0.04,8.897596318,1,['pCH4_per_pO2'],0.578938627,0.697258131
18,1073,2.5,0.05,13.57365084,1,['pCH4_per_pO2'],0.547225584,0.733453651
19,1073,2.5,0.05,13.57365084,1,['pCH4_per_pO2'],0.547225584,0.733453651
20,1073,2,0.55,19.8820515,1,['pCH4_per_pO2'],0.730799503,0.528983543
21,1013,2,0.55,14.1245331,1,['pCH4_per_pO2'],0.56478026,0.720121902
22,1033,2,0.55,17.9492458,1,['pCH4_per_pO2'],0.589475255,0.695968799
23,1053,2,0.55,17.54902468,1,['pCH4_per_pO2'],0.535055666,0.740539321
24,1073,2,0.55,19.8820515,1,['pCH4_per_pO2'],0.730799503,0.528983543
25,1093,2,0.55,21.33955063,1,['pCH4_per_pO2'],0.572989149,0.708717527
26,1073,1,0.55,21.62132605,1,['pCH4_per_pO2'],0.573500004,0.708632074
27,1073,2,0.55,19.8820515,1,['pCH4_per_pO2'],0.730799503,0.528983543
28,1073,3,0.55,15.20147869,1,['pCH4_per_pO2'],0.548724042,0.732435488
29,1073,2,0.36,19.64492159,1,['pCH4_per_pO2'],0.561741069,0.724619367
33,1073,2,0.51,16.93330668,1,['pCH4_per_pO2'],0.555288103,0.725832018
34,1073,2,0.42,16.50018111,1,['pCH4_per_pO2'],0.563028769,0.723461802
35,1073,2,0.36,19.64492159,1,['pCH4_per_pO2'],0.561741069,0.724619367
36,1056,1.8,0.02,12.0015191,1,['pCH4_per_pO2'],0.549540942,0.731575375
42,1048,3,0.36,16.68442834,1,['pCH4_per_pO2'],0.561041545,0.724552322
43,1073,3,0.36,16.69462651,1,['pCH4_per_pO2'],0.544179043,0.735132198
44,1073,3,0.36,16.69462651,1,['pCH4_per_pO2'],0.544179043,0.735132198
48,958,3,0.37,2.24500282,1,['pCH4_per_pO2'],0.546250409,0.732304751
49,973,3,0.37,2.480979227,1,['pCH4_per_pO2'],0.607143353,0.673441416
50,1008,3,0.37,4.401250498,1,['pCH4_per_pO2'],0.586539919,0.698627724
51,1023,3,0.37,9.717078236,1,['pCH4_per_pO2'],0.562396107,0.723747629
52,993,3,0.19,0.456602098,1,['pCH4_per_pO2'],0.612833253,0.665843912
53,1018,3,0.19,4.333238406,1,['pCH4_per_pO2'],0.54536208,0.733149763
54,1038,3,0.19,7.223017651,1,['pCH4_per_pO2'],0.545013838,0.733264529
55,1073,3,0.19,10.44274641,1,['pCH4_per_pO2'],0.564755565,0.721512809
56,1093,3,0.19,12.80682413,1,['pCH4_per_pO2'],0.563759763,0.722454015
57,1113,3,0.19,13.1837118,1,['pCH4_per_pO2'],0.561169778,0.724742118
59,988,3,0.09,2.37115751,1,['pCH4_per_pO2'],0.545102596,0.73331343
60,1013,3,0.09,6.241412508,1,['pCH4_per_pO2'],0.542665095,0.735786069
61,1038,3,0.09,9.595384786,1,['pCH4_per_pO2'],0.547944451,0.732845791
62,1073,3,0.09,13.61863644,1,['pCH4_per_pO2'],0.549127947,0.731345426
63,1098,3,0.09,17.60278481,1,['pCH4_per_pO2'],0.563937167,0.722438351
64,1113,3,0.09,17.49054458,1,['pCH4_per_pO2'],0.540585251,0.738403943
67,1113,3,0.04,12.47728205,1,['pCH4_per_pO2'],0.553813124,0.728844865
68,1053,3,0.04,4.542570677,1,['pCH4_per_pO2'],0.539609841,0.739453794
69,1073,3,0.04,8.057064387,1,['pCH4_per_pO2'],0.579012714,0.6836664
70,1093,3,0.04,12.1003826,1,['pCH4_per_pO2'],0.563569448,0.722671967
80,723,4,0.01,0,1,['Temperature'],0.588568445,0.695252166
81,748,4,0.01,0,1,['Temperature'],0.588568445,0.695252166
82,773,4,0.01,0,1,['Temperature'],0.588568445,0.695252166
83,798,4,0.01,0,1,['Temperature'],0.588568445,0.695252166
84,823,4,0.01,0,1,['Temperature'],0.588568445,0.695252166
85,848,4,0.01,0,1,['Temperature'],0.588568445,0.695252166
86,873,4,0.01,0,1,['Temperature'],0.588568445,0.695252166
87,898,4,0.01,0,1,['Temperature'],0.588568445,0.695252166
88,923,4,0.01,0,1,['Temperature'],0.588568445,0.695252166
89,1073,2,0.36,19.64492159,1,['pCH4_per_pO2'],0.561741069,0.724619367
90,823,4,0.07,2.012875387,1,['Temperature'],0.559985074,0.72464931
91,873,4,0.07,2.012875387,1,['Temperature'],0.559985074,0.72464931
92,923,4,0.07,2.14746635,1,['Temperature'],0.541417021,0.739584828
93,1023,3,0.36,14.23675272,1,['pCH4_per_pO2'],0.549338132,0.731744467
94,1073,3,0.36,16.69462651,1,['pCH4_per_pO2'],0.544179043,0.735132198
349,723,4,0.072,2.060366919,1,['Temperature'],0.548229976,0.732613439
350,723,4,0.144,0,1,['Temperature'],0.542295997,0.738796012
351,723,4,0.216,0,1,['Temperature'],0.554750726,0.728454889
352,723,4,0.288,0,1,['Temperature'],0.632971369,0.636940129
353,723,4,0.36,3.077133259,1,['Temperature'],0.510862596,0.789284958
354,723,4,0.432,0,1,['Temperature'],0.562133673,0.724190978
355,723,4,0.504,0,1,['Temperature'],0.554300809,0.726131668
370,723,4.25,0.072,2.060366919,1,['Temperature'],0.540883734,0.758316508
371,723,4.25,0.144,0,1,['Temperature'],0.542291317,0.741466546
372,723,4.25,0.216,0,1,['Temperature'],0.543892785,0.737424138
373,723,4.25,0.288,0,1,['Temperature'],0.731514947,0.531156146
374,723,4.25,0.36,3.077133259,1,['Temperature'],0.511763474,0.788535249
375,723,4.25,0.432,0,1,['Temperature'],0.588187703,0.696864428
376,723,4.25,0.504,0,1,['Temperature'],0.548100447,0.734920559
391,723,4.5,0.072,2.060366919,1,['Temperature'],0.548422117,0.733038455
392,723,4.5,0.144,0,1,['Temperature'],0.564529535,0.722020485
393,723,4.5,0.216,0,1,['Temperature'],0.548699159,0.732396889
394,723,4.5,0.288,0,1,['Temperature'],0.626137726,0.652018327
395,723,4.5,0.36,3.077133259,1,['Temperature'],0.552285484,0.730657132
396,723,4.5,0.432,0,1,['Temperature'],0.569156219,0.716655603
397,723,4.5,0.504,0,1,['Temperature'],0.56171128,0.724809999
412,723,4.75,0.072,2.060366919,1,['Temperature'],0.562433271,0.724331362
413,723,4.75,0.144,0,1,['Temperature'],0.568995343,0.718297981
414,723,4.75,0.216,0,1,['Temperature'],0.546411289,0.732214306
415,723,4.75,0.288,0,1,['Temperature'],0.588526819,0.686551569
416,723,4.75,0.36,3.077133259,1,['Temperature'],0.561420271,0.724830783
417,723,4.75,0.432,0,1,['Temperature'],0.550904512,0.73193721
418,723,4.75,0.504,0,1,['Temperature'],0.576701554,0.708780917
433,723,5,0.072,1.397475291,1,['Temperature'],0.569916164,0.718183135
434,723,5,0.144,0,1,['Temperature'],0.546020891,0.732212114
435,723,5,0.216,0,1,['Temperature'],0.545883266,0.732353092
436,723,5,0.288,0,1,['Temperature'],0.562763847,0.721188528
