Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
Ba,30.3,Ti,60.7,Sn,3,,,,,,,Cl,6,,,,,,,,,,Sol-gel,1048,0.67,0.33,2,1,0.3,99,66.6,,,,52.1,34.7
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.14,88.8,43.8,43.4,,,53.3,23.1
Ba,33.33,Ti,33.33,Sn,33.33,,,,,,,,,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.19,99.5,28.8,89.8,,,9.6,2.7
Ba,20,Ti,30,Sn,10,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.16,60.4,33.9,35.8,47.5,12.3,59.8,20.3
Ba,20,Ti,24,Sn,16,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.15,71.4,37.5,39.8,47.8,8.5,56.3,21.1
Ba,20,Ti,16,Sn,24,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.14,69.8,37.1,39.2,48.6,7.9,56.5,21
Ba,20,Ti,10,Sn,30,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.13,57.6,32.4,38.2,47.6,10.4,58.1,18.8
Ba,0,Ti,50,Sn,50,,,,,,,Cl,0,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.13,99.3,27.4,89.6,2.9,0.7,3.6,1
Ba,23.08,Ti,15.38,Sn,15.38,,,,,,,Cl,46.15,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.15,49.6,20.1,64.9,17.2,16.9,34.1,6.9
Ba,10.34,Ti,34.48,Sn,34.48,,,,,,,Cl,20.69,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.13,64.9,27.6,56.7,28.6,11.9,40.4,11.2
Ba,14.29,Ti,28.57,Sn,28.57,,,,,,,Cl,28.57,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.14,87.2,42.9,44.8,44.8,3.4,48.2,20.7
Ba,17.65,Ti,23.53,Sn,23.53,,,,,,,Cl,35.29,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.14,92.7,45.5,45.3,43.6,8.2,51.8,23.6
Ba,25,Ti,12.5,Sn,12.5,,,,,,,Cl,50,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.15,69.7,38,39.5,45.5,10.7,56.2,21.4
Ba,27.27,Ti,9.09,Sn,9.09,,,,,,,Cl,54.55,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.16,67.8,34.4,38.5,49.4,8.7,58.1,20
Ba,28.57,Ti,7.14,Sn,7.14,,,,,,,Cl,57.14,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.16,67.8,33.4,43.1,39.5,12.3,51.8,17.3
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1013,0.67,0.33,2,1,0.14,41.1,26.5,34.9,48.8,14.1,62.9,16.7
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1038,0.67,0.33,2,1,0.14,59.2,35.8,37.1,49,9.9,58.9,21.1
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1053,0.67,0.33,2,1,0.14,72.6,41.3,41.1,47,8.6,55.6,23
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1063,0.67,0.33,2,1,0.14,81.7,43.5,42.8,45.9,7.3,53.2,23.1
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1083,0.67,0.33,2,1,0.14,92.3,46.4,46.8,43,6.4,49.4,22.9
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1093,0.67,0.33,2,1,0.14,94,45.7,47,42.4,6.8,49.2,22.5
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1123,0.67,0.33,2,1,0.14,98.9,52.3,58.1,31.8,6.6,38.4,20.1
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,1.5,1,0.14,91.8,55.1,51.6,39.1,6.9,46,25.4
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,2,1,0.14,95.3,44.9,45.1,45.3,7.1,52.4,23.5
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,3,1,0.14,95.3,37.3,35.3,46.4,12.2,58.7,21.9
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,4,1,0.14,96.2,26,27.3,49.8,15.8,65.6,17
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,2,1,0.29,98.4,46.5,53.9,40.2,,45.4,21.1
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,2,1,0.24,97.8,45.6,50.1,40.9,,46.7,21.3
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,2,1,0.21,96.6,45.8,47,42,,49.2,22.6
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,2,1,0.18,96.9,45.4,45.6,43.4,,50.6,23
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,2,1,0.16,95.5,45.2,46.5,42.7,,50.6,22.8
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,,,2,1,0.13,95.3,44,45.2,40.7,,50.1,22.1
Ba,17.78,Ti,17.78,Sn,17.78,Na,0.23,W,0.12,Mn,0.25,Cl,35.56,,,,Si,10.52,,,,,n.a.,1073,0.67,0.33,2,1,0.55,97.4,42.7,41.4,44.5,,54.3,23.2
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.67,0.33,2,1,0.55,97.6,46.9,42.1,47.4,,54.3,25.5
Ba,13.33,Ti,13.33,Sn,13.33,Na,0.69,W,0.35,Mn,0.74,Cl,26.67,,,,Si,31.55,,,,,n.a.,1073,0.67,0.33,2,1,0.55,93.2,45,42.4,45.9,,53.7,24.2
Ba,10,Ti,10,Sn,10,Na,1.04,W,0.52,Mn,1.11,Cl,20,,,,Si,47.33,,,,,n.a.,1073,0.67,0.33,2,1,0.55,90.2,44.3,43.4,46.4,,53.2,23.6
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1013,0.67,0.33,2,1,0.55,69.7,38.1,37.9,48.1,,48.1,18.3
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1033,0.67,0.33,2,1,0.55,80.4,42.9,40.2,48,,48,20.6
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1053,0.67,0.33,2,1,0.55,90.9,46.4,42.1,47.1,,47.1,21.9
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.67,0.33,2,1,0.55,96.8,47.4,42.2,47.5,,47.5,22.5
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1093,0.67,0.33,2,1,0.55,97.8,45.5,43.6,44.4,,44.4,20.2
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.5,0.5,1,1,0.55,,46.6,48.6,,,39.8,18.5
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.67,0.33,2,1,0.55,,47,42.1,,,47.7,22.3
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.75,0.25,3,1,0.55,,38.2,31.2,,,51.7,19.5
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.8,0.2,4,1,0.55,,28.5,24,,,56.7,15.9
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.83,0.17,5,1,0.55,,24.5,21.2,,,57.5,14.1
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.67,0.33,2,1,1.44,,49.2,51,,,43.3,21.3
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.67,0.33,2,1,0.9,,49,48.5,,,44.3,21.7
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.67,0.33,2,1,0.72,,48.7,47.3,,,45.2,22.1
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.67,0.33,2,1,0.51,,48,44.3,,,46.2,22.2
Ba,16.67,Ti,16.67,Sn,16.67,Na,0.35,W,0.17,Mn,0.37,Cl,33.33,,,,Si,15.78,,,,,n.a.,1073,0.67,0.33,2,1,0.42,,45.3,42.9,,,46.3,21
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Impregnation,1073,0.67,0.33,2,1,1.44,,40.3,53.5,,,30,12
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.55,98.9,43.9,50.4,34.3,,47.1,20.7
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1013,0.67,0.33,2,1,0.55,51.4,19.6,63.9,14.3,,14.3,2.6
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1033,0.67,0.33,2,1,0.55,72.2,29.6,55.2,23.1,,23.1,6.7
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1053,0.67,0.33,2,1,0.55,88.4,38.4,50.3,29.6,,29.6,11.2
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.55,98.7,44,49,34,,34,14.6
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1093,0.67,0.33,2,1,0.55,99.2,44.7,48.8,34.5,,34.5,15.2
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.5,0.5,1,1,0.55,,35.8,50.1,,,28.9,10.3
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.67,0.33,2,1,0.55,,38.4,50.7,,,29.4,11.3
Ba,20,Ti,20,Sn,20,,,,,,,Cl,40,,,,,,,,,,Physical mixing,1073,0.75,0.25,3,1,0.55,,27.7,37.2,,,33.4,9.3
