Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
1004.0,1.9,0.04,2.683630681,4.0407896,7.8918443,1.3571589231870118
1056.0,1.8,0.04,8.897596318,8.466861,7.7970295,0.4307355468208005
1013.0,2.0,0.55,14.1245331,3.5018814,8.296865,10.62265173899231
1033.0,2.0,0.55,17.9492458,7.339331,6.981668,10.609914649945068
1053.0,2.0,0.55,17.54902468,7.368236,7.0087075,10.18078861508911
1073.0,3.0,0.55,15.20147869,10.59691,8.917122,4.60456821331543
1056.0,1.8,0.02,12.0015191,8.466861,7.7970295,3.5346583288208
1048.0,3.0,0.36,16.68442834,8.587002,8.025221,8.09742653946289
903.0,3.0,0.37,0.427435794,3.5051682,8.293725,3.0777324055391846
918.0,3.0,0.37,0.427435794,3.5051682,8.293725,3.0777324055391846
933.0,3.0,0.37,1.461190573,3.5051682,8.293725,2.0439776265391845
958.0,3.0,0.37,2.24500282,3.5051682,8.293725,1.2601653795391847
973.0,3.0,0.37,2.480979227,3.5051682,8.293725,1.0241889725391844
1008.0,3.0,0.37,4.401250498,3.512089,8.286588,0.8891614839466548
1023.0,3.0,0.37,9.717078236,7.1865425,6.8979506,2.5305357250136726
993.0,3.0,0.19,0.456602098,3.3652215,8.416468,2.9086194023967287
1018.0,3.0,0.19,4.333238406,3.3720114,8.408535,0.9612269828890384
1038.0,3.0,0.19,7.223017651,6.8369927,6.8628225,0.3860249103688966
1073.0,3.0,0.19,10.44274641,10.4271555,8.773054,0.0155909153100584
1093.0,3.0,0.19,12.80682413,10.4271555,8.773054,2.37966863531006
988.0,3.0,0.09,2.37115751,4.077863,7.8591523,1.7067057064001463
1013.0,3.0,0.09,6.241412508,4.0851297,7.853849,2.156282770145996
1038.0,3.0,0.09,9.595384786,8.533698,7.896806,1.0616867040297857
1053.0,3.0,0.04,4.542570677,8.466861,7.7970295,3.9242900941792
1048.0,3.0,0.0,18.40977113,8.466861,7.7970295,9.9429103588208
1023.0,3.0,0.0,16.00186352,8.249911,7.6056795,7.751952211711426
1048.0,3.0,0.0,18.40977113,8.466861,7.7970295,9.9429103588208
1023.0,3.0,0.0,16.00186352,8.249911,7.6056795,7.751952211711426
723.0,4.0,0.01,0.0,4.033523,7.898583,4.033523082733154
748.0,4.0,0.01,0.0,4.033523,7.898583,4.033523082733154
773.0,4.0,0.01,0.0,4.033523,7.898583,4.033523082733154
798.0,4.0,0.01,0.0,4.033523,7.898583,4.033523082733154
823.0,4.0,0.01,0.0,4.033523,7.898583,4.033523082733154
848.0,4.0,0.01,0.0,4.033523,7.898583,4.033523082733154
873.0,4.0,0.01,0.0,4.033523,7.898583,4.033523082733154
898.0,4.0,0.01,0.0,4.033523,7.898583,4.033523082733154
923.0,4.0,0.01,0.0,4.033523,7.898583,4.033523082733154
823.0,4.0,0.07,2.012875387,4.077863,7.8591523,2.0649878294001467
873.0,4.0,0.07,2.012875387,4.077863,7.8591523,2.0649878294001467
923.0,4.0,0.07,2.14746635,4.077863,7.8591523,1.9303968664001463
1023.0,3.0,0.36,14.23675272,8.368571,7.848298,5.868181438566895
723.0,1.0,0.0,9.551309758,4.033523,7.898583,5.517786675266846
723.0,1.0,0.072,6.994392112,4.077863,7.8591523,2.9165288955998534
723.0,1.0,0.144,3.243188454,3.3652215,8.416468,0.1220330463967283
723.0,1.0,0.216,2.962152095,3.3649998,8.416721,0.4028476761181641
723.0,1.0,0.288,2.962152095,3.3649998,8.416721,0.4028476761181641
723.0,1.0,0.36,9.589847711,4.0622745,7.883403,5.527573254975831
723.0,1.0,0.432,6.617509592,3.4949603,8.3045225,3.122549283925049
723.0,1.0,0.504,6.617509592,3.4949603,8.3045225,3.122549283925049
723.0,1.0,0.576,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,0.648,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,0.72,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,0.792,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,0.864,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,0.936,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,1.008,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,1.08,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,1.152,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,1.224,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,1.296,9.933110279,3.4949603,8.3045225,6.438149970925048
723.0,1.0,1.368,9.933110279,3.4949603,8.3045225,6.438149970925048
