Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted,Mean_MC,std_MC,abs_error_MC
1092.0,2.1,0.15,16.14692869,10.4271555,8.773054,5.719773195310058
1124.0,2.2,0.15,17.85287774,10.788738,9.0588875,7.064139489267578
1175.0,2.0,0.15,23.28852735,10.788738,9.0588875,12.499789099267575
1123.0,2.7,0.15,17.69087008,10.788738,9.0588875,6.902131829267578
1151.0,2.7,0.15,20.9501151,10.788738,9.0588875,10.16137684926758
1172.0,3.0,0.15,21.30489275,10.788738,9.0588875,10.51615449926758
1182.0,3.0,0.15,22.49507822,10.788738,9.0588875,11.706339969267578
1181.0,2.7,0.15,24.17982708,10.788738,9.0588875,13.391088829267575
1121.0,2.2,0.02,15.8181404,11.50417,9.70662,4.313969982214356
1152.0,2.2,0.02,19.40252404,11.50417,9.70662,7.898353622214355
1185.0,2.4,0.02,21.12464263,11.50417,9.70662,9.620472212214356
1153.0,1.9,0.04,18.46075315,11.50417,9.70662,6.956582732214354
1175.0,1.8,0.05,22.43250824,11.600979,9.7888975,10.83152938868164
1121.0,2.2,0.05,16.40473908,11.600979,9.7888975,4.803760228681639
1152.0,2.2,0.05,19.98912271,11.600979,9.7888975,8.38814385868164
1185.0,2.4,0.05,21.71124131,11.600979,9.7888975,10.11026245868164
1073.0,2.5,0.05,13.57365084,11.219558,9.451066,2.354093077854005
1073.0,2.5,0.05,13.57365084,11.219558,9.451066,2.354093077854005
1073.0,2.0,0.55,19.8820515,10.59691,8.917122,9.285141023315427
1073.0,2.0,0.55,19.8820515,10.59691,8.917122,9.285141023315427
1093.0,2.0,0.55,21.33955063,10.59691,8.917122,10.742640153315431
1073.0,1.0,0.55,21.62132605,10.59691,8.917122,11.02441557331543
1073.0,2.0,0.55,19.8820515,10.59691,8.917122,9.285141023315427
1073.0,2.0,0.36,19.64492159,11.124284,9.396606,8.52063779941162
1073.0,2.0,1.44,19.8820515,10.59691,8.917122,9.285141023315427
1073.0,2.0,0.9,19.8820515,10.59691,8.917122,9.285141023315427
1073.0,2.0,0.72,19.8820515,10.59691,8.917122,9.285141023315427
1073.0,2.0,0.51,16.93330668,10.59691,8.917122,6.336396203315431
1073.0,2.0,0.42,16.50018111,10.605061,8.924224,5.895120532607422
1073.0,2.0,0.36,19.64492159,11.124284,9.396606,8.52063779941162
1153.0,1.9,0.02,21.56467298,11.50417,9.70662,10.060502562214356
1175.0,1.8,0.02,21.58093529,11.50417,9.70662,10.076764872214357
1122.0,2.1,0.14,9.575186461,11.721963,9.9307375,2.146776467771973
1157.0,2.1,0.14,12.67733961,11.721963,9.9307375,0.955376681228028
1187.0,2.1,0.14,15.0943,11.721963,9.9307375,3.372337071228028
1073.0,3.0,0.36,16.69462651,11.124284,9.396606,5.57034271941162
1073.0,3.0,0.36,16.69462651,11.124284,9.396606,5.57034271941162
1113.0,3.0,0.19,13.1837118,10.788738,9.0588875,2.394973549267577
1128.0,3.0,0.19,11.58767097,10.788738,9.0588875,0.7989327192675777
1073.0,3.0,0.09,13.61863644,11.323471,9.567803,2.295165370664062
1098.0,3.0,0.09,17.60278481,11.7234,9.93242,5.879384694033202
1113.0,3.0,0.09,17.49054458,11.721963,9.9307375,5.768581651228029
1133.0,3.0,0.09,17.56288725,11.721963,9.9307375,5.840924321228027
1148.0,3.0,0.09,18.71972513,11.721963,9.9307375,6.997762201228028
1113.0,3.0,0.04,12.47728205,11.50417,9.70662,0.9731116322143548
1073.0,3.0,0.04,8.057064387,11.126551,9.37364,3.069486287438476
1093.0,3.0,0.04,12.1003826,11.126551,9.37364,0.9738319255615232
1133.0,3.0,0.04,12.54962031,11.50417,9.70662,1.0454498922143554
1153.0,3.0,0.04,14.3759319,11.50417,9.70662,2.871761482214355
1173.0,3.0,0.04,14.0011245,11.50417,9.70662,2.496954082214355
1073.0,3.0,0.0,18.30700768,11.126551,9.37364,7.180457005561525
1073.0,3.0,0.0,18.30700768,11.126551,9.37364,7.180457005561525
1073.0,2.0,0.36,19.64492159,11.124284,9.396606,8.52063779941162
1073.0,3.0,0.36,16.69462651,11.124284,9.396606,5.57034271941162
1123.0,3.0,0.36,17.28257817,11.450593,9.666927,5.831985175310059
1094.2,1.0,0.0,24.23910809,11.505609,9.7077055,12.733499531345212
1094.2,1.0,0.072,23.44322241,11.7234,9.93242,11.719822294033204
1094.2,1.0,0.144,18.36505347,10.788738,9.0588875,7.576315219267578
1094.2,1.0,0.216,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.0,0.288,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.0,0.36,23.08673991,11.450593,9.666927,11.636146915310055
1094.2,1.0,0.432,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.0,0.504,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.0,0.576,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,0.648,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,0.72,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,0.792,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,0.864,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,0.936,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,1.008,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,1.08,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,1.152,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,1.224,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,1.296,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,1.368,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.0,1.44,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.0,24.23910809,11.505609,9.7077055,12.733499531345212
1094.2,1.25,0.072,23.44322241,11.7234,9.93242,11.719822294033204
1094.2,1.25,0.144,18.36505347,10.788738,9.0588875,7.576315219267578
1094.2,1.25,0.216,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.25,0.288,17.19386719,10.778913,9.0490675,6.414954645749511
1094.2,1.25,0.36,23.08673991,11.450593,9.666927,11.636146915310055
1094.2,1.25,0.432,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.25,0.504,19.91944184,10.947419,9.197903,8.97202267343506
1094.2,1.25,0.576,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.648,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.72,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.792,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.864,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,0.936,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.008,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.08,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.152,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.224,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.296,23.12969825,10.947419,9.197903,12.18227908343506
1094.2,1.25,1.368,23.12969825,10.947419,9.197903,12.18227908343506
