Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.83,0.1,8.2,0.9,0.03,,1.4,,,,57.7,0.8
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.72,0.1,7.1,0.8,0.03,,1.7,,,,55.6,0.9
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.61,0.1,6,0.7,0.03,,1.9,,,,52.2,1
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.51,0.1,5,0.6,0.03,,2.2,,,,51.6,1.1
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.42,0.1,4.1,0.5,0.03,,2.5,,,,53.4,1.4
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.31,0.1,3.1,0.4,0.03,,2.7,,,,48.1,1.3
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1073,0.21,0.1,2.1,0.3,0.03,,2.8,,,,43.2,1.2
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.83,0.1,8.2,0.9,0.03,,2.2,,,,50.1,1.1
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.72,0.1,7.1,0.8,0.03,,2.6,,,,46.9,1.2
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.61,0.1,6,0.7,0.03,,2.9,,,,49,1.4
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.51,0.1,5,0.6,0.03,,3.3,,,,47.1,1.6
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.42,0.1,4.1,0.5,0.03,,3.9,,,,42.9,1.7
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.31,0.1,3.1,0.4,0.03,,4.7,,,,41.3,1.9
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1098,0.21,0.1,2.1,0.3,0.03,,4.9,,,,31,1.5
La,30,Sr,20,Co,40,Fe,10,,,,,,,,,,,,,,,,n.a.,1123,0.83,0.1,8.2,0.9,0.03,,2.6,,,,52.6,1.4
