Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
W,0.5,Na,33.2,Mn,66.3,,,,,,,,,,,,,,,,,n.a.,1089,0.67,0.33,2,1,3,100,41,,32,12,44,18
W,2.3,Na,19.5,Mn,58.7,,,,,,,Cl,19.5,,,,,,,,,Impregnation,1073,0.67,0.33,2,1,3,99,40.7,,31.2,12.3,43.5,17.7
Na,8.9,W,4.5,Mn,3.5,,,,,,,,,,,Si,83.1,,,,,Therm.decomp.,973,0.4,0.1,4,1,1.33,100,40,,48,,63,25.2
Na,2.1,W,1.05,Mn,2.25,,,,,,,,,,,Si,94.6,,,,,Solid-phase technique,1092,0.68,0.32,2.1,1,0.15,89,37,52,35,13,48,17.8
Na,2.1,W,1.05,Mn,2.25,,,,,,,,,,,Si,94.6,,,,,Solid-phase technique,1124,0.69,0.31,2.2,1,0.15,96,40,55,28,17,45,18
Na,2.1,W,1.05,Mn,2.25,,,,,,,,,,,Si,94.6,,,,,Solid-phase technique,1175,0.67,0.33,2,1,0.15,97,45,47,36,17,53,23.9
Na,2.1,W,1.05,Mn,2.25,,,,,,,,,,,Si,94.6,,,,,Solid-phase technique,1123,0.73,0.27,2.7,1,0.15,95,34,50,36,14,50,17
Na,2.1,W,1.05,Mn,2.25,,,,,,,,,,,Si,94.6,,,,,Solid-phase technique,1151,0.73,0.27,2.7,1,0.15,96,39,50,34,16,50,19.5
Na,2.1,W,1.05,Mn,2.25,,,,,,,,,,,Si,94.6,,,,,Solid-phase technique,1172,0.75,0.25,3,1,0.15,96,44,48,36,16,52,22.9
Na,2.1,W,1.05,Mn,2.25,,,,,,,,,,,Si,94.6,,,,,Solid-phase technique,1182,0.75,0.25,3,1,0.15,97,44,46,38,16,54,23.8
Na,2.1,W,1.05,Mn,2.25,,,,,,,,,,,Si,94.6,,,,,Solid-phase technique,1181,0.73,0.27,2.7,1,0.15,98,38,53,32,35,65,24.7
Na,13.8,W,0.7,Mn,1.5,Zr,2.2,,,,,S,3.6,P,0.7,Si,77.5,,,,,Sol-gel,1023,0.75,0.25,3,1,0.75,,43.8,,,,53.6,23.5
Na,13.8,W,0.7,Mn,1.5,Zr,2.2,,,,,S,3.6,,,Si,78.2,,,,,Sol-gel,1023,0.75,0.25,3,1,0.75,,38,,,,47.4,18
Na,13.8,W,0.7,Mn,1.5,Zr,2.2,,,,,P,0.7,,,Si,81.1,,,,,Sol-gel,1023,0.75,0.25,3,1,0.75,,34,,,,47.1,16
Na,13.8,W,0.7,Mn,1.5,Zr,2.2,,,,,,,,,Si,81.8,,,,,Sol-gel,1023,0.75,0.25,3,1,0.75,,15,,,,66.7,10
Na,13.72,W,0.73,Mn,1.51,Zr,2.31,,,,,S,3.45,P,0.71,Si,77.57,,,,,Sol-gel,1023,0.6,0.2,3,1,0.23,,13.6,79.1,20.9,25.6,46.5,6.3
Na,8.9,W,4.5,Mn,3.5,,,,,,,,,,,Si,83.1,,,,,Sol-gel,1093,0.8,0.2,4,1,0.12,65.6,22.4,,36.3,,69.4,15.5
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1121,0.69,0.31,2.2,1,0.02,84,30,47,33,17,53,16
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1152,0.69,0.31,2.2,1,0.02,93,35,43,37,15,57,20
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1185,0.71,0.29,2.4,1,0.02,97,36,41,40,13,60,22
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1004,0.66,0.34,1.9,1,0.04,12,4,36,7,43,64,2.6
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1056,0.64,0.36,1.8,1,0.04,33,16,35,28,34,65,10.4
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1153,0.66,0.34,1.9,1,0.04,99,46,52,33,10,48,22.1
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1175,0.64,0.36,1.8,1,0.05,99,46,54,32,9,46,21.2
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1121,0.69,0.31,2.2,1,0.05,84,30,47,33,17,53,15.9
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1152,0.69,0.31,2.2,1,0.05,93,35,43,37,15,57,20
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Sol-gel,1185,0.71,0.29,2.4,1,0.05,97,36,41,40,13,60,21.6
Na,2.07,W,0.26,Mn,3.29,,,,,,,,,,,Si,94.38,,,,,Sol-gel,1133,0.5,0.11,4.8,1,,,,,,,70.8,
Na,13.72,W,0.73,Mn,1.51,Zr,2.31,,,,,S,3.45,P,0.71,Si,77.57,,,,,Slurry,1023,0.6,0.2,3,1,0.23,,46.3,56.2,43.8,7.2,51.1,23.6
Na,13.72,W,0.73,Mn,1.51,Zr,2.31,,,,,S,3.45,P,0.71,Si,77.57,,,,,Slurry,1023,0.6,0.2,3,1,0.23,,44.7,51.9,48.1,8.2,56.3,25.2
Na,13.72,W,0.73,Mn,1.51,Zr,2.31,,,,,S,3.45,P,0.71,Si,77.57,,,,,Slurry,1023,0.6,0.2,3,1,0.23,,44.4,52.5,47.5,8.4,56,24.8
Na,13.72,W,0.73,Mn,1.51,Zr,2.31,,,,,S,3.45,P,0.71,Si,77.57,,,,,Slurry,1023,0.6,0.2,3,1,0.23,,29.5,65.1,34.9,15.8,50.7,14.9
Na,13.72,W,0.73,Mn,1.51,Zr,2.31,,,,,S,3.45,P,0.71,Si,77.57,,,,,Slurry,1023,0.6,0.2,3,1,0.23,,44,54.7,45.3,7.2,52.5,23.1
Na,2.08,W,1.04,Mn,2.23,,,,,,,,,,,Si,94.65,,,,,Slurry,1083,0.83,0.17,4.9,1,0.04,,18,,44.6,23.4,68,12.2
Na,19.25,Mn,1.61,W,1.02,,,,,,,Cl,17.21,,,Si,60.91,,,,,Physical mixing,1023,0.06,0.04,1.6,1,0.02,80.7,55,37.1,56.8,4.4,61.2,33.7
Na,14.31,Mn,1.2,W,0.75,K,17.48,,,,,Cl,30.28,,,Si,35.98,,,,,Physical mixing,1023,0.06,0.04,1.6,1,0,60,45.1,,60.4,7.4,67.8,30.6
Na,1.51,Mn,2.46,W,0.75,,,,,,,,,,,Si,95.29,,,,,Physical mixing,1023,0.06,0.04,1.6,1,0,8.2,8.2,36.6,20.4,43,63.4,5.2
Na,1.51,Mn,1.61,W,0.75,Cs,21.18,,,,,Cl,17.21,,,Si,57.74,,,,,Physical mixing,1023,0.06,0.04,1.6,1,0,37.3,30.1,25.1,58.1,13.9,72,21.7
Na,1.51,Mn,1.61,W,0.75,Li,21.18,,,,,Cl,17.21,,,Si,57.74,,,,,Physical mixing,1023,0.06,0.04,1.6,1,0,14.1,14.1,19.8,45.3,33.7,79,11.1
Na,1.12,Mn,1.61,W,0.56,K,21.18,,,,,Cl,17.21,,,Si,58.32,,,,,Physical mixing,1023,0.06,0.04,1.6,1,0,45.5,35.9,24.7,61.2,11.2,72.4,26
Na,86.89,W,0,Mn,2.5,Zr,0,,,,,S,4.67,P,5.95,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.19,,15.9,,,,53,8.4
Na,86.3,W,1.8,Mn,2.38,Zr,0,,,,,S,3.81,P,5.71,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,12,,,,68.1,8.2
Na,82.71,W,1.27,Mn,2.25,Zr,0,,,,,S,8.42,P,5.36,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,15.4,,,,53,8.1
Na,81.28,W,1.08,Mn,3.84,Zr,7.91,,,,,S,3.59,P,2.29,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.17,,21.7,,,,36.4,7.9
Na,78.64,W,1.15,Mn,0,Zr,0,,,,,S,15.32,P,4.88,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.19,,22.6,,,,32.9,7.4
Na,76.43,W,1,Mn,0.89,Zr,0,,,,,S,13.25,P,8.44,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.19,,12.4,,,,62.5,7.8
Na,75.76,W,0.51,Mn,2.72,Zr,7.46,,,,,S,13.55,P,0,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,16.3,,,,45.7,7.5
Na,75.64,W,1.41,Mn,0.83,Zr,5.75,,,,,S,13.6,P,2.77,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,18.6,,,,67.3,12.5
Na,74.79,W,1.48,Mn,0,Zr,10.8,,,,,S,9.81,P,3.12,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,10.8,,,,69.2,7.5
Na,71.74,W,2.35,Mn,2.08,Zr,8.59,,,,,S,7.8,P,7.45,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.17,,17,,,,49.7,8.4
Na,69.71,W,1.78,Mn,2.37,Zr,0,,,,,S,12.95,P,13.19,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,15.4,,,,77.7,12
Na,69.71,W,1.78,Mn,2.37,Zr,0,,,,,S,12.95,P,13.19,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,15.4,,,,77.7,12
Na,69.7,W,0.31,Mn,1.09,Zr,13.49,,,,,S,10.21,P,5.2,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.18,,12.8,,,,60.9,7.8
Na,69.67,W,1.31,Mn,3.1,Zr,12.76,,,,,S,5.79,P,7.37,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.17,,16.3,,,,47.5,7.8
Na,67.25,W,0,Mn,0.79,Zr,26.05,,,,,S,5.91,P,0,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.16,,16.1,,,,51.8,8.4
Na,66.97,W,1.79,Mn,0.79,Zr,19.64,,,,,S,8.91,P,1.89,,,,,,,Impregnation,1069,0.25,0.75,0.3,1,0.17,,14.8,,,,53.1,7.9
