Mg_C_mol%,Na_C_mol%,Ce_C_mol%,La_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Ti_C_mol%,P_A_mol%,S_A_mol%,Si_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1.0,973.0,4.0,1.0,1.33,25.2
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1.0,1093.0,4.0,1.0,0.12,15.5
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1.0,1023.0,8.1,1.0,0.04,10.8
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1.0,1073.0,3.2,1.0,0.14,19.6
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1.0,1073.0,2.5,1.0,0.11,19.2
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1.0,1093.0,4.0,1.0,0.12,20.7
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1.0,973.0,2.0,1.0,0.22,17.5
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1.0,1073.0,2.0,1.0,0.27,20.7
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1092.0,2.1,1.0,0.15,17.8
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1124.0,2.2,1.0,0.15,18.0
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1175.0,2.0,1.0,0.15,23.9
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1123.0,2.7,1.0,0.15,17.0
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1151.0,2.7,1.0,0.15,19.5
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1172.0,3.0,1.0,0.15,22.9
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1182.0,3.0,1.0,0.15,23.8
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.0,1181.0,2.7,1.0,0.15,24.7
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1121.0,2.2,1.0,0.02,16.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1152.0,2.2,1.0,0.02,20.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1185.0,2.4,1.0,0.02,22.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1004.0,1.9,1.0,0.04,2.6
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1056.0,1.8,1.0,0.04,10.4
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1.0,1153.0,1.9,1.0,0.04,22.1
