,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
0,1092,2.1,0.15,16.14692869
1,1124,2.2,0.15,17.85287774
2,1175,2,0.15,23.28852735
3,1123,2.7,0.15,17.69087008
4,1151,2.7,0.15,20.9501151
5,1172,3,0.15,21.30489275
6,1182,3,0.15,22.49507822
7,1181,2.7,0.15,24.17982708
8,1121,2.2,0.02,15.8181404
9,1152,2.2,0.02,19.40252404
10,1185,2.4,0.02,21.12464263
11,1004,1.9,0.04,2.683630681
12,1056,1.8,0.04,8.897596318
13,1153,1.9,0.04,18.46075315
14,1175,1.8,0.05,22.43250824
15,1121,2.2,0.05,16.40473908
16,1152,2.2,0.05,19.98912271
17,1185,2.4,0.05,21.71124131
18,1083,4.9,0.04,12.04728278
19,1073,2.5,0.05,13.57365084
20,1073,2.5,0.05,13.57365084
21,1023,4,0.06,7.91978218
22,1073,2,0.55,19.8820515
23,1013,2,0.55,14.1245331
24,1033,2,0.55,17.9492458
25,1053,2,0.55,17.54902468
26,1073,2,0.55,19.8820515
27,1093,2,0.55,21.33955063
28,1073,1,0.55,21.62132605
29,1073,2,0.55,19.8820515
30,1073,3,0.55,15.20147869
31,1073,4,0.55,14.66137908
32,1073,5,0.55,13.83194706
33,1073,2,0.36,19.64492159
34,1073,2,1.44,19.8820515
35,1073,2,0.9,19.8820515
36,1073,2,0.72,19.8820515
37,1073,2,0.51,16.93330668
38,1073,2,0.42,16.50018111
39,1073,2,0.36,19.64492159
40,1056,1.8,0.02,12.0015191
41,1153,1.9,0.02,21.56467298
42,1175,1.8,0.02,21.58093529
43,1023,4,0.37,7.90413895
44,1122,2.1,0.14,9.575186461
45,1157,2.1,0.14,12.67733961
46,1187,2.1,0.14,15.0943
47,1048,3,0.36,16.68442834
48,1073,3,0.36,16.69462651
49,1073,3,0.36,16.69462651
50,903,3,0.37,0.427435794
51,918,3,0.37,0.427435794
52,933,3,0.37,1.461190573
53,958,3,0.37,2.24500282
54,973,3,0.37,2.480979227
55,1008,3,0.37,4.401250498
56,1023,3,0.37,9.717078236
57,993,3,0.19,0.456602098
58,1018,3,0.19,4.333238406
59,1038,3,0.19,7.223017651
60,1073,3,0.19,10.44274641
61,1093,3,0.19,12.80682413
62,1113,3,0.19,13.1837118
63,1128,3,0.19,11.58767097
64,988,3,0.09,2.37115751
65,1013,3,0.09,6.241412508
66,1038,3,0.09,9.595384786
67,1073,3,0.09,13.61863644
68,1098,3,0.09,17.60278481
69,1113,3,0.09,17.49054458
70,1133,3,0.09,17.56288725
71,1148,3,0.09,18.71972513
72,1113,3,0.04,12.47728205
73,1113,4,0.04,13.37025572
74,1113,5,0.04,12.56055901
75,1113,6,0.04,12.56055901
76,1053,3,0.04,4.542570677
77,1073,3,0.04,8.057064387
78,1093,3,0.04,12.1003826
79,1133,3,0.04,12.54962031
80,1153,3,0.04,14.3759319
81,1173,3,0.04,14.0011245
82,1048,4,0.05,11.71299863
83,1048,4,0.04,7.424315569
84,1048,4,0.04,7.424315569
85,1048,4,0.04,7.424315569
86,1073,3,0,18.30700768
87,1073,3,0,18.30700768
88,1048,3,0,18.40977113
89,1023,3,0,16.00186352
90,1048,3,0,18.40977113
91,1023,3,0,16.00186352
92,723,4,0.01,0
93,748,4,0.01,0
94,773,4,0.01,0
95,798,4,0.01,0
96,823,4,0.01,0
97,848,4,0.01,0
98,873,4,0.01,0
99,898,4,0.01,0
100,923,4,0.01,0
101,948,4,0.01,0.17009595
102,973,4,0.01,0.898528317
103,998,4,0.01,1.50930072
104,1023,4,0.01,8.543646061
105,1048,4,0.01,11.63165398
106,1073,4,0.01,12.80142692
107,1073,2,0.36,19.64492159
108,823,4,0.07,2.012875387
109,873,4,0.07,2.012875387
110,923,4,0.07,2.14746635
111,973,4,0.07,4.091804425
112,1023,4,0.07,11.76905544
113,1073,4,0.07,16.9356225
114,1023,3,0.36,14.23675272
115,1073,3,0.36,16.69462651
116,1123,3,0.36,17.28257817
117,723,1,0,9.551309758
118,723,1,0.072,6.994392112
119,723,1,0.144,3.243188454
120,723,1,0.216,2.962152095
121,723,1,0.288,2.962152095
122,723,1,0.36,9.589847711
123,723,1,0.432,6.617509592
124,723,1,0.504,6.617509592
125,723,1,0.576,9.933110279
126,723,1,0.648,9.933110279
