Na_C_mol%,Mn_C_mol%,W_C_mol%,Si_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
8.9,3.5,4.5,83.1,1.0,973.0,4.0,1.0,1.33,25.2
8.9,3.5,4.5,83.1,1.0,1093.0,4.0,1.0,0.12,15.5
8.9,3.5,4.5,83.1,1.0,1023.0,8.1,1.0,0.04,10.8
8.9,3.5,4.5,83.1,1.0,1073.0,3.2,1.0,0.14,19.6
8.9,3.5,4.5,83.1,1.0,1073.0,2.5,1.0,0.11,19.2
8.9,3.5,4.5,83.1,1.0,1093.0,4.0,1.0,0.12,20.7
8.9,3.5,4.5,83.1,1.0,973.0,2.0,1.0,0.22,17.5
8.9,3.5,4.5,83.1,1.0,1073.0,2.0,1.0,0.27,20.7
2.1,2.25,1.05,94.6,1.0,1092.0,2.1,1.0,0.15,17.8
2.1,2.25,1.05,94.6,1.0,1124.0,2.2,1.0,0.15,18.0
2.1,2.25,1.05,94.6,1.0,1175.0,2.0,1.0,0.15,23.9
2.1,2.25,1.05,94.6,1.0,1123.0,2.7,1.0,0.15,17.0
2.1,2.25,1.05,94.6,1.0,1151.0,2.7,1.0,0.15,19.5
2.1,2.25,1.05,94.6,1.0,1172.0,3.0,1.0,0.15,22.9
2.1,2.25,1.05,94.6,1.0,1182.0,3.0,1.0,0.15,23.8
2.1,2.25,1.05,94.6,1.0,1181.0,2.7,1.0,0.15,24.7
2.08,2.23,1.04,94.65,1.0,1121.0,2.2,1.0,0.02,16.0
2.08,2.23,1.04,94.65,1.0,1152.0,2.2,1.0,0.02,20.0
2.08,2.23,1.04,94.65,1.0,1185.0,2.4,1.0,0.02,22.0
2.08,2.23,1.04,94.65,1.0,1004.0,1.9,1.0,0.04,2.6
2.08,2.23,1.04,94.65,1.0,1056.0,1.8,1.0,0.04,10.4
2.08,2.23,1.04,94.65,1.0,1153.0,1.9,1.0,0.04,22.1
2.08,2.23,1.04,94.65,1.0,1175.0,1.8,1.0,0.05,21.2
2.08,2.23,1.04,94.65,1.0,1121.0,2.2,1.0,0.05,15.9
2.08,2.23,1.04,94.65,1.0,1152.0,2.2,1.0,0.05,20.0
2.08,2.23,1.04,94.65,1.0,1185.0,2.4,1.0,0.05,21.6
2.08,2.23,1.04,94.65,1.0,1083.0,4.9,1.0,0.04,12.2
2.08,2.23,1.04,94.65,1.0,1073.0,2.5,1.0,0.05,10.1
2.08,2.23,1.04,94.65,1.0,1073.0,2.5,1.0,0.05,17.8
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,1.95,18.1
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,1.95,20.0
2.08,2.23,1.04,94.65,1.0,1023.0,4.0,1.0,0.06,6.1
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.55,23.3
2.08,2.23,1.04,94.66,1.0,1013.0,2.0,1.0,0.55,13.9
2.08,2.23,1.04,94.66,1.0,1033.0,2.0,1.0,0.55,18.3
2.08,2.23,1.04,94.66,1.0,1053.0,2.0,1.0,0.55,19.8
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.55,19.7
2.08,2.23,1.04,94.66,1.0,1093.0,2.0,1.0,0.55,20.0
2.08,2.23,1.04,94.66,1.0,1073.0,1.0,1.0,0.55,22.0
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.55,20.8
2.08,2.23,1.04,94.66,1.0,1073.0,3.0,1.0,0.55,17.9
2.08,2.23,1.04,94.66,1.0,1073.0,4.0,1.0,0.55,13.2
2.08,2.23,1.04,94.66,1.0,1073.0,5.0,1.0,0.55,11.5
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.36,20.0
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,1.44,18.7
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.9,19.6
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.72,18.6
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.51,17.1
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.42,16.6
2.08,2.23,1.04,94.66,1.0,1073.0,2.0,1.0,0.36,15.5
2.08,2.23,1.04,94.65,1.0,1056.0,1.8,1.0,0.02,10.0
2.08,2.23,1.04,94.65,1.0,1153.0,1.9,1.0,0.02,22.0
2.08,2.23,1.04,94.65,1.0,1175.0,1.8,1.0,0.02,21.0
2.08,2.23,1.04,94.65,1.0,1023.0,4.0,1.0,0.37,5.8
2.08,2.23,1.04,94.65,1.0,1122.0,2.1,1.0,0.14,7.5
2.08,2.23,1.04,94.65,1.0,1157.0,2.1,1.0,0.14,12.1
2.08,2.23,1.04,94.65,1.0,1187.0,2.1,1.0,0.14,14.2
2.08,2.23,1.04,94.65,1.0,1048.0,3.0,1.0,0.36,15.3
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,0.36,17.1
2.08,2.23,1.04,94.65,1.0,1073.0,3.0,1.0,0.36,16.5
2.08,2.23,1.04,94.65,1.0,903.0,3.0,1.0,0.37,0.7
2.08,2.23,1.04,94.65,1.0,918.0,3.0,1.0,0.37,1.0
2.08,2.23,1.04,94.65,1.0,933.0,3.0,1.0,0.37,1.5
2.08,2.23,1.04,94.65,1.0,958.0,3.0,1.0,0.37,2.4
2.08,2.23,1.04,94.65,1.0,973.0,3.0,1.0,0.37,3.7
2.08,2.23,1.04,94.65,1.0,1008.0,3.0,1.0,0.37,4.8
2.08,2.23,1.04,94.65,1.0,1023.0,3.0,1.0,0.37,6.0
