Mg_C_mol%,Na_C_mol%,Ce_C_mol%,La_C_mol%,Mn_C_mol%,W_C_mol%,Zr_C_mol%,Ti_C_mol%,P_A_mol%,S_A_mol%,Si_S_mol%,Mg_S_mol%,C_S_mol%,Ti_S_mol%,Preparation,Temperature,p(CH4)/p(O2),p total,Contact time,Y(C2)
0.0,33.2,0.0,0.0,66.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1089,2.0,1.0,3.0,18.0
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1,973,4.0,1.0,1.33,25.2
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1,1092,2.1,1.0,0.15,17.8
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1,1124,2.2,1.0,0.15,18.0
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1,1175,2.0,1.0,0.15,23.9
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1,1123,2.7,1.0,0.15,17.0
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1,1151,2.7,1.0,0.15,19.5
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1,1172,3.0,1.0,0.15,22.9
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1,1182,3.0,1.0,0.15,23.8
0.0,2.1,0.0,0.0,2.25,1.05,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1,1181,2.7,1.0,0.15,24.7
0.0,13.8,0.0,0.0,1.5,0.7,2.2,0.0,0.7,3.6,77.5,0.0,0.0,0.0,1,1023,3.0,1.0,0.75,23.5
0.0,13.8,0.0,0.0,1.5,0.7,2.2,0.0,0.0,3.6,78.2,0.0,0.0,0.0,1,1023,3.0,1.0,0.75,18.0
0.0,13.8,0.0,0.0,1.5,0.7,2.2,0.0,0.7,0.0,81.1,0.0,0.0,0.0,1,1023,3.0,1.0,0.75,16.0
0.0,13.8,0.0,0.0,1.5,0.7,2.2,0.0,0.0,0.0,81.8,0.0,0.0,0.0,1,1023,3.0,1.0,0.75,10.0
0.0,13.72,0.0,0.0,1.51,0.73,2.31,0.0,0.71,3.45,77.57,0.0,0.0,0.0,1,1023,3.0,1.0,0.23,6.3
0.0,8.9,0.0,0.0,3.5,4.5,0.0,0.0,0.0,0.0,83.1,0.0,0.0,0.0,1,1093,4.0,1.0,0.12,15.5
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1121,2.2,1.0,0.02,16.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1152,2.2,1.0,0.02,20.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1185,2.4,1.0,0.02,22.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1004,1.9,1.0,0.04,2.6
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1056,1.8,1.0,0.04,10.4
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1153,1.9,1.0,0.04,22.1
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1175,1.8,1.0,0.05,21.2
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1121,2.2,1.0,0.05,15.9
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1152,2.2,1.0,0.05,20.0
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1185,2.4,1.0,0.05,21.6
0.0,13.72,0.0,0.0,1.51,0.73,2.31,0.0,0.71,3.45,77.57,0.0,0.0,0.0,1,1023,3.0,1.0,0.23,23.6
0.0,13.72,0.0,0.0,1.51,0.73,2.31,0.0,0.71,3.45,77.57,0.0,0.0,0.0,1,1023,3.0,1.0,0.23,25.2
0.0,13.72,0.0,0.0,1.51,0.73,2.31,0.0,0.71,3.45,77.57,0.0,0.0,0.0,1,1023,3.0,1.0,0.23,24.8
0.0,13.72,0.0,0.0,1.51,0.73,2.31,0.0,0.71,3.45,77.57,0.0,0.0,0.0,1,1023,3.0,1.0,0.23,14.9
0.0,13.72,0.0,0.0,1.51,0.73,2.31,0.0,0.71,3.45,77.57,0.0,0.0,0.0,1,1023,3.0,1.0,0.23,23.1
0.0,2.08,0.0,0.0,2.23,1.04,0.0,0.0,0.0,0.0,94.65,0.0,0.0,0.0,1,1083,4.9,1.0,0.04,12.2
0.0,1.51,0.0,0.0,2.46,0.75,0.0,0.0,0.0,0.0,95.29,0.0,0.0,0.0,1,1023,1.6,1.0,0.0,5.2
0.0,86.89,0.0,0.0,2.5,0.0,0.0,0.0,5.95,4.67,0.0,0.0,0.0,0.0,1,1069,0.3,1.0,0.19,8.4
