Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
1083.0,4.9,0.04,12.04728278
1023.0,4.0,0.06,7.91978218
1073.0,4.0,0.55,14.66137908
1073.0,5.0,0.55,13.83194706
1023.0,4.0,0.37,7.90413895
1113.0,4.0,0.04,13.37025572
1113.0,5.0,0.04,12.56055901
1113.0,6.0,0.04,12.56055901
1048.0,4.0,0.05,11.71299863
1048.0,4.0,0.04,7.424315569
1048.0,4.0,0.04,7.424315569
1048.0,4.0,0.04,7.424315569
948.0,4.0,0.01,0.17009595
973.0,4.0,0.01,0.898528317
998.0,4.0,0.01,1.50930072
1023.0,4.0,0.01,8.543646061
1048.0,4.0,0.01,11.63165398
1073.0,4.0,0.01,12.80142692
973.0,4.0,0.07,4.091804425
1023.0,4.0,0.07,11.76905544
1073.0,4.0,0.07,16.9356225
955.0,4.0,0.072,3.363373968
955.0,4.0,0.144,0.0
955.0,4.0,0.216,0.0
955.0,4.0,0.288,0.0
955.0,4.0,0.36,4.380139388
955.0,4.0,0.432,0.37886638
955.0,4.0,0.504,0.37886638
955.0,4.25,0.072,3.363373968
955.0,4.25,0.144,0.0
955.0,4.25,0.216,0.0
955.0,4.25,0.288,0.0
955.0,4.25,0.36,4.380139388
955.0,4.25,0.432,0.37886638
955.0,4.25,0.504,0.37886638
955.0,4.5,0.072,3.363373968
955.0,4.5,0.144,0.0
955.0,4.5,0.216,0.0
955.0,4.5,0.288,0.0
955.0,4.5,0.36,4.380139388
955.0,4.5,0.432,0.37886638
955.0,4.5,0.504,0.37886638
955.0,4.75,0.072,3.363373968
955.0,4.75,0.144,0.0
955.0,4.75,0.216,0.0
955.0,4.75,0.288,0.0
955.0,4.75,0.36,4.380139388
955.0,4.75,0.432,0.37886638
955.0,4.75,0.504,0.37886638
955.0,5.0,0.072,2.609897117
955.0,5.0,0.144,0.0
955.0,5.0,0.216,0.0
955.0,5.0,0.288,0.0
955.0,5.0,0.36,3.606922814
955.0,5.0,0.432,0.0
955.0,5.0,0.504,0.0
955.0,5.25,0.072,2.609897117
955.0,5.25,0.144,0.0
955.0,5.25,0.216,0.0
955.0,5.25,0.288,0.0
955.0,5.25,0.36,3.606922814
955.0,5.25,0.432,0.0
955.0,5.25,0.504,0.0
955.0,5.5,0.072,2.609897117
955.0,5.5,0.144,0.0
