,Temperature,pCH4_per_pO2,Contact time,Y(C2)_predicted
11,1004.0,1.9,0.04,2.683630681
21,1023.0,4.0,0.06,7.9197821799999994
23,1013.0,2.0,0.55,14.1245331
43,1023.0,4.0,0.37,7.90413895
50,903.0,3.0000000000000004,0.37,0.4274357939999999
51,918.0,3.0000000000000004,0.37,0.4274357939999999
52,932.9999999999999,3.0000000000000004,0.37,1.461190573
53,958.0,3.0000000000000004,0.37,2.24500282
54,972.9999999999999,3.0000000000000004,0.37,2.480979227
55,1008.0000000000001,3.0000000000000004,0.37,4.401250498
56,1023.0,3.0000000000000004,0.37,9.717078236
57,993.0,3.0000000000000004,0.19,0.456602098
58,1018.0000000000001,3.0000000000000004,0.19,4.333238406
64,988.0,3.0000000000000004,0.09,2.37115751
65,1013.0,3.0000000000000004,0.09,6.241412508
89,1023.0,3.0000000000000004,0.0,16.00186352
91,1023.0,3.0000000000000004,0.0,16.00186352
97,848.0,4.0,0.01,0.0
98,873.0,4.0,0.01,0.0
99,898.0,4.0,0.01,0.0
100,923.0,4.0,0.01,0.0
101,948.0,4.0,0.01,0.17009595
102,972.9999999999999,4.0,0.01,0.898528317
103,998.0000000000001,4.0,0.01,1.50930072
104,1023.0,4.0,0.01,8.543646061
109,873.0,4.0,0.07,2.012875387
110,923.0,4.0,0.07,2.14746635
111,972.9999999999999,4.0,0.07,4.091804425
112,1023.0,4.0,0.07,11.76905544
114,1023.0,3.0000000000000004,0.36,14.236752719999998
2364,839.0,1.5000000000000002,0.0,9.551309758
2365,839.0,1.5000000000000002,0.072,6.994392112
2366,839.0,1.5000000000000002,0.144,3.243188454
2367,839.0,1.5000000000000002,0.216,2.962152095
2368,839.0,1.5000000000000002,0.288,2.962152095
2369,839.0,1.5000000000000002,0.36,9.589847711
2370,839.0,1.5000000000000002,0.432,6.617509592
2371,839.0,1.5000000000000002,0.504,6.617509592
2372,839.0,1.5000000000000002,0.576,9.933110279
2385,839.0,1.75,0.0,9.551309758
2386,839.0,1.75,0.072,6.994392112
2387,839.0,1.75,0.144,3.243188454
2388,839.0,1.75,0.216,2.962152095
2389,839.0,1.75,0.288,2.962152095
2390,839.0,1.75,0.36,9.589847711
2391,839.0,1.75,0.432,6.617509592
2392,839.0,1.75,0.504,6.617509592
2393,839.0,1.75,0.576,9.933110279
2406,839.0,2.0,0.0,7.930769467
2407,839.0,2.0,0.072,5.287248717
2408,839.0,2.0,0.144,1.408573088
2409,839.0,2.0,0.216,1.193470945
2410,839.0,2.0,0.288,1.193470945
2411,839.0,2.0,0.36,7.821168953
2412,839.0,2.0,0.432,4.825053139
2413,839.0,2.0,0.504,4.825053139
2414,839.0,2.0,0.576,8.206915799
2427,839.0,2.25,0.0,7.046489346
2428,839.0,2.25,0.072,3.494753987
2429,839.0,2.25,0.144,0.0
2430,839.0,2.25,0.216,0.0
2431,839.0,2.25,0.288,0.0
2432,839.0,2.25,0.36,5.958626398
2433,839.0,2.25,0.432,2.044605542
2434,839.0,2.25,0.504,2.044605542
2435,839.0,2.25,0.576,4.701343831
2448,839.0,2.5,0.0,6.782047281
2449,839.0,2.5,0.072,3.4763208720000005
2450,839.0,2.5,0.144,0.0
2451,839.0,2.5,0.216,0.0
2452,839.0,2.5,0.288,0.0
2453,839.0,2.5,0.36,5.940193284
2454,839.0,2.5,0.432,2.026172611
2455,839.0,2.5,0.504,2.026172611
2456,839.0,2.5,0.576,4.682910717
2469,839.0,2.75,0.0,6.560958847
2470,839.0,2.75,0.072,3.335918263
2471,839.0,2.75,0.144,0.0
2472,839.0,2.75,0.216,0.0
2473,839.0,2.75,0.288,0.0
2474,839.0,2.75,0.36,5.807724179
2475,839.0,2.75,0.432,1.8937036909999998
2476,839.0,2.75,0.504,1.8937036909999998
2477,839.0,2.75,0.576,4.550441612
2490,839.0,3.0000000000000004,0.0,6.887156007
2491,839.0,3.0000000000000004,0.072,2.836903934
2492,839.0,3.0000000000000004,0.144,0.0
2493,839.0,3.0000000000000004,0.216,0.0
2494,839.0,3.0000000000000004,0.288,0.0
2495,839.0,3.0000000000000004,0.36,4.696822231
2496,839.0,3.0000000000000004,0.432,0.695549291
2497,839.0,3.0000000000000004,0.504,0.695549291
2498,839.0,3.0000000000000004,0.576,3.352292825
