Cation 1,Cation 1 mol%,Cation 2,Cation 2 mol%,Cation 3,Cation 3 mol%,Cation 4,Cation 4 mol%,Cation 5,Cation 5 mol%,Cation 6,Cation 6 mol%,Anion 1,Anion 1 mol%,Anion 2,Anion 2 mol%,Promotor,Support 1,Support 1 mol%,Support 2,Support 2 mol%,Support 3,Support 3 mol%,Preparation,Temperature,p(CH4),p(O2),p(CH4)/p(O2),p total,Contact time,X(O2),X(CH4),S(COx),S(C2=),S(C2-),S(C2),Y(C2)
Sm,100,,,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.3,0.05,6,1,0.1,100,17.9,,23.5,29.5,53,9.5
Sm,100,,,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.87,0.14,6.1,1,0.01,,20,,,,61,12.2
Sm,100,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,846,0.71,0.29,2.5,1,1.4,,29.3,,,,24.5,7.2
Sm,100,,,,,,,,,,,,,,,Cl,,,,,,,n.a.,1023,0.3,0.15,2,1,0.1,,44,,36,3,39,17.2
Sm,100,,,,,,,,,,,,,,,,,,,,,,Precipitation,1123,0.91,0.1,9,1,0,83,12.5,,,,71,8.9
Sm,100,,,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.28,0.04,7,1,2.8,100,17,,27,23.8,50.8,8.6
Sm,100,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.8,0.2,4,1,0.04,,24.3,,,,51,12.4
Sm,100,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.75,0.15,5,1,0.18,99.2,26.3,61.2,21.6,17.2,38.8,10.2
Sm,100,,,,,,,,,,,,,,,,,,,,,,Precipitation,1083,0.54,0.1,5.6,1,0.25,100,19,35.1,36.3,25.2,61.5,11.7
Sm,100,,,,,,,,,,,,,,,,,,,,,,n.a.,1053,0.68,0.07,10,1,0.22,100,12.2,,,,54,6.6
Sm,100,,,,,,,,,,,,,,,,,,,,,,Therm.decomp.,1073,0.86,0.14,6.1,1,0.6,95,14.2,,,,58.5,8.3
Sm,100,,,,,,,,,,,,,,,,,,,,,,Precipitation,973,0.13,0.07,2,1,0.8,45.7,25.5,,14.7,10.4,25.1,6.4
Sm,100,,,,,,,,,,,,,,,,,,,,,,n.a.,973,0.18,0.01,20.2,1,2.4,66.9,5.4,,33.3,52.6,85.9,4.6
Sm,100,,,,,,,,,,,,,,,,,,,,,,n.a.,1023,0.18,0.04,5.2,1,2.4,77.4,15.1,,37.2,23.4,60.6,9.2
Sm,100,,,,,,,,,,,,,,,,,,,,,,Physical mixing,473,0.71,0.29,2.5,1,1.41,,29.3,75.5,10.8,13.7,24.5,7.2
Sm,100,,,,,,,,,,,,,,,,,,,,,,Slurry,1073,0.29,0.07,4,1,0.03,99.6,19,,,,32.7,6.2
Sm,100,,,,,,,,,,,,,,,,,,,,,,Microemulsion,1013,0.9,0.1,9,1,2.05,,10.5,,23,27.5,50.5,5.3
Sm,100,,,,,,,,,,,,,,,,,,,,,,Microemulsion,1013,0.88,0.13,7,1,2.05,,13,,23.9,28.6,52.5,6.8
Sm,100,,,,,,,,,,,,,,,,,,,,,,Microemulsion,1013,0.8,0.2,4,1,2.05,,17.5,,15.3,14.7,30,5.3
Sm,100,,,,,,,,,,,,,,,,,,,,,,Microemulsion,1073,0.9,0.1,9,1,2.05,,8.5,,21.5,16,37.5,3.2
Sm,100,,,,,,,,,,,,,,,,,,,,,,Microemulsion,1073,0.88,0.13,7,1,2.05,,13,,29.4,18.1,47.5,6.2
Sm,100,,,,,,,,,,,,,,,,,,,,,,Microemulsion,1073,0.8,0.2,4,1,2.05,,18,,19.2,8.8,28,5
