Data Order,Temperature,pCH4_per_pO2,Contact time,Y(C2),R2,RMSE,MAE,n_estimators,max_depth,min_child_weight,gamma,subsample,colsample_bytree,learning_rate
7377,1187,1,0.648,27.08547665,0.750460875,0.939257899,0.500979889,913,44,6.233584882,0.028464545,0.788993186,0.533447413,0.065570251
7378,1187,1,0.72,27.08547665,0.750460875,0.939257899,0.500979889,420,21,5.021018701,0.009100472,0.705178929,0.661075589,0.0383069
7379,1187,1,0.792,27.08547665,0.750460875,0.939257899,0.500979889,727,10,6.157918801,0.016137258,0.644155341,0.571676788,0.086046593
7380,1187,1,0.864,27.08547665,0.750460875,0.939257899,0.500979889,375,32,5.801493994,0.000456447,0.798951252,0.541147505,0.054274672
7381,1187,1,0.936,27.08547665,0.750460875,0.939257899,0.500979889,717,37,2.249919228,0.000864243,0.903747657,0.662719595,0.026537039
7382,1187,1,1.008,27.08547665,0.750460875,0.939257899,0.500979889,998,44,4.007408612,0.015579869,0.543100933,0.640259586,0.054185765
7383,1187,1,1.08,27.08547665,0.750460875,0.939257899,0.500979889,626,20,4.733575569,0.011916265,0.795095046,0.61712841,0.028008841
7384,1187,1,1.152,27.08547665,0.750460875,0.939257899,0.500979889,947,43,6.374413008,0.007902412,0.60135771,0.618519177,0.06796519
7385,1187,1,1.224,27.08547665,0.750460875,0.939257899,0.500979889,870,45,2.466670377,0.011605641,0.982448129,0.578786911,0.063828869
7386,1187,1,1.296,27.08547665,0.750460875,0.939257899,0.500979889,992,5,3.403012185,0.031380084,0.516160226,0.534058442,0.079844715
7387,1187,1,1.368,27.08547665,0.750460875,0.939257899,0.500979889,796,7,6.078331387,0.021195118,0.579470537,0.536799837,0.083475009
7388,1187,1,1.44,27.08547665,0.750460875,0.939257899,0.500979889,450,26,2.603692969,0.013664455,0.763335521,0.65060833,0.094577011
7398,1187,1.25,0.648,27.08547665,0.750460875,0.939257899,0.500979889,862,30,4.178910389,0.004292387,0.990168983,0.580337891,0.029857451
7399,1187,1.25,0.72,27.08547665,0.750460875,0.939257899,0.500979889,622,2,3.112696493,0.003025438,0.770546613,0.900798432,0.072911008
7400,1187,1.25,0.792,27.08547665,0.750460875,0.939257899,0.500979889,235,12,5.783072195,0.002087515,0.939628298,0.654691526,0.077169968
